LUK.1.1	Он-ка укал хоял хачал бичэвур тэлэӈур дукудилритан, 
LUK.1.16	Хояв-да Израиль хурэлбэн хэвкигдин. 
LUK.1.17	Ноӈан Хунӈит дюлдэлэн ӈэнгэрэдин, Илия хирандин хираникан, эӈидин-дэ эӈилэтникэн, амтыл-да мявулбутан мучувкандай; этылбу-дэ долдарилбу бис айгарарил мэргэӈчидекутэн бөдэй; Ноӈан тачин некчин, Хунӈит эмэдектэкин эйдудюр бэил кимутчал бидэтэн.
LUK.1.18	Захария ангелу улгэмрин:
LUK.1.18	– Он тарав тэдедэку некэнри? Би укал хагды бэй бисэм, атыкаӈу-да анӈанаӈан хоя.
LUK.1.19	Ангел барагрин:
LUK.1.19	– Би Гавриил бисэм, Хэвки дюлдэлэн илатты, эрэв өрэлдэм мэтум хилбанача бисэм. 
LUK.1.20	Тек хи ач төрэнэ одинри, хикутывчири, тачин гөнигчиму окан ач төрэнэ бидинри. Гонигчиму оннаван эсэкэс тэдер, теми тачин төрэнси бэрибдин.
LUK.1.21	Бэил-эси Захарияв алачиддитан, мяӈчиникан, гөру Хэвки Дюдукун этывэн нӫр. 
LUK.1.22	Захария бэилтэки нӫриди, туркучилрин төрэӈэ, ӈалдиткан ичукэтникэн, укчэнмэттин. Эйдучэндюр бэил унуритан ичунмэю Хэвки Дюлан итчэвэн. 
LUK.1.23	Оддыди гургэй, Захария дюткий мучурин. 
LUK.1.24	Амрак атыкаӈан Елизавета осэри один, тунӈам аткимам тарав бэил эдэтэн хар хумэттин, гөникэн:
LUK.1.25	– Эрэк Хунӈит бөчэн, хагды одыку Ноӈан мину илралрин, хадариму-да бэилтэки тачин аталникан.
LUK.1.26	Елизавета нюӈилэн аткикаӈлан осэрилэн Хэвки мэтумӈии – ангелу Гавриилу Галилейскайтаки городтаки Назареттаки 
LUK.1.27	асаткантаки Марияч гэрбэлэттытки хөрукэнин. Мария Иосифнюн, Давид ӈунмидукун бисинюн, мерэндэй голдыча ноӈантакин бисин. 
LUK.1.28	Ангел, Мариятки эмриди, гөнин:
LUK.1.28	– Өрэлдэли, Хэрлэвӈи! Хунӈит эрэгэр хиннюн бидэн! Хи асал элгэлэтэн Хэвкиду төрэсэмчэ бисэнри!
LUK.1.29	Тачин ангел гөнэкэн, Мария гирбэлрин
LUK.1.30	Ангел ноӈантакин гөнин:
LUK.1.30	– Эди ӈэлкил, Мария; Хи илраӈай Хэвкилэ баканри; 
LUK.1.31	нян тэпкэлэй осэри одинри, тадук Нярудю балдавкандинри, гэрбудинри-дэ Иисус. 
LUK.1.32	Ноӈан эгден бэй оградин, нян Ойдэлэт Биси Хутчин Ноӈман гэрбучилдир; нян тадук мут Хунӈит Хэвки Ноӈандун Ноӈан аманни Давид тэгэмэррон бөгрэдин; 
LUK.1.33	нян Иаков ӈунмин ойдэлин тэгэмэр один, тадук Тэгэмэрэдекэн эрэгэр ач мудна бидин.
LUK.1.34	Мария-си ангелтаки гөнин:
LUK.1.34	– Он тарак бидин, би унэт эсэм мерэнчэ бис?
LUK.1.35	Ангел ноӈантакин барагрин:
LUK.1.35	– Хиргэпты Хиран хиндулэ надин, нян Ойдэлэт Биси Эӈин Хину куптудин, теми-дэ Хиргэпчэ балдавканчас Хэвки Хутчин гэрбупчин. 
LUK.1.36	Тачин-та-ти-тта Елизавета, Хин ханис, эты балдавкан куӈав аси бичэ, хагды-да одыды, нярудьгай осэри один, укал-да нюӈин аткикаӈан осэрин тек одни. 
LUK.1.37	Өмэн-дэ Хэвки төрэнни ач эӈилэ эсни бивэттэ.
LUK.1.38	Таракам Мария гөнин:
LUK.1.38	– Би Хэвки кэлмэн бисэм, тек тачин хин гөнчэгчинси бигрэдим.
LUK.1.38	Нян ангел ноӈандукун хөррин.
LUK.1.39	Таралдула инэӈэлдулэ Мария, кимриди, хэлиӈчиникэн, городтаки Иудея урэкчэрдулэн биситки хөррин. 
LUK.1.40	Захария дюлан ириди, Елизаветанюн доровматтин. 
LUK.1.41	Ок-ка Елизавета Мария ноӈантакин доровариван долдарин, таракам ноӈан урлэн хутэн гургэлдэлрин, нян тадук Елизавета Хиргэбэн Хирандин эмдэи дован милтэрэвкэмрин, 
LUK.1.42	тарбач дылгурач дылганды төрэснин:
LUK.1.42	– Хи асал долатан Хэвкиду төрэсэмчэ бисэнри, төрэсэмчэ-дэ Хин урэс балдадиӈан дөн! 
LUK.1.43	Он-нян эрэк би хэрригэй бакрив, Мин Хунӈиву Энинни минтэки эмдэн. 
LUK.1.44	Дороваривус минтэки долдараку, мин хуту, уру долан унэт биси, хокниди, гургэлдэлрин. 
LUK.1.45	Тарак аси несэлкэн, ӈи, Хунӈит некэбэннэв гөнчэвэн, тэдечэ.
LUK.1.46	Нян Мария гөнин:
LUK.1.46	– Мин ханьму Хунӈивут эскэнь эгдерукэнни;
LUK.1.47	дялу-да Хэвкив, Мин Айчимӈав, өрэлдэн,
LUK.1.48	тывмэкэм кэлмэги ичисэнчэлин.
LUK.1.48	Несэлкэнь тек эрэгэр мину чэлэн бэил
LUK.1.48	гэрбутчигрэдир,
LUK.1.49	Эливун Эӈиӈэт хөнтэл ойдэлитэн Мину
LUK.1.49	огурукэнчэлин.
LUK.1.49	Эрэгэр Ноӈан Гэрбэн Хэрлэвӈи бидэн!
LUK.1.50	Ӈунмирбу дюлэскитэкитэӈ Ноӈан Ноӈман
LUK.1.50	ӈэлрилбу илрандин,
LUK.1.51	Мэн Эӈий Ноӈан ичукэнин,
LUK.1.51	няривладилбу, кэнели мулгантан бисэкэн,
LUK.1.51	ноӈкэчивкэнин,
LUK.1.52	тэгэмэрэлбу тэгэлгэндукутэн тыкукэнин,
LUK.1.52	эгдесэчиврилбу-дэ огэрукэнин,
LUK.1.53	демсилду аиӈгатан бөрин, эӈэелбу-нян ач
LUK.1.53	ялатта хөрукэнин.
LUK.1.54	Ноӈан мэн кэлмэги Израилю, дӫми,
LUK.1.54	илралрин,
LUK.1.54	ноӈман бэлрин, айган овканин,
LUK.1.55	амтылтакит, Авраамтаки, хурэлтэкин-дэ
LUK.1.55	эрэгэр дюлэски илран бидэн гөнчэй.
LUK.1.56	Асукут илам аткикам Елизаветала биддыди, Мария мэн дюткий мучурин.
LUK.1.57	Елизавета инэӈэӈэн иссакан, хуткэн няри балдарин. 
LUK.1.58	Нимэкэлни, ханил-да тарав долдаридюр, ноӈнюнни хокаӈчиритан, Хунӈит тачин ноӈман энтэкэе илранди огурэкэнчэвэн. 
LUK.1.59	Дяпкилан инэӈэӈнэн куӈав минэвкэндэвур эмритэн, аманни гэрбэдин Захарияч гэрбэдэвур некритэн. 
LUK.1.60	Куӈа энинни гөнин:
LUK.1.60	– Этэс тачин гэрбур, ноӈан гэрбэн Иоанн бидин.
LUK.1.61	Эмчэл ноӈантакин гөнитэн:
LUK.1.61	– Хин ханилдулас ӈи-дэ тачин эч гэрбэлэттэ.
LUK.1.62	Куӈа амман, ӈалдюр ичукэтникэн, улгимидилритэн, он-да ноӈан хути гэрбэннэвэн. 
LUK.1.63	Захария мов доскав бодэтэн гасчирин, нян тала дукрин: «Ноӈан гэрбэн Иоанн». Эйду бисил мянитан. 
LUK.1.64	Тармадит-та амӈан аӈаптин, ноӈан төрэлрин, Хэвкив эскэникэн. 
LUK.1.65	Тарбач чэлэн нимэкэлтэн хэӈулритэн, Иудея эйдулэн урэкчэрдулэ төрэӈнэн бисилэ тарав бичэв төрэдилритэн, 
LUK.1.66	ӈи-ккэ тарав долдарин, мяӈчиникан, мулгаттин:
LUK.1.66	– Ӈи эрэк куӈа бидин?
LUK.1.66	Айдит, Хунӈит эӈин ноӈнюнни бисин.
LUK.1.67	Нян Захария, Иоанн аманни, Хиргэптыв Хираӈай бакриди, эйдуткин бэилтэки як-та эрэк куӈа оннаван, мэтудилрин:
LUK.1.68	– Хэрлэвӈи бими мут Хунӈит, Израиль Хэвкиӈэн, ноӈан Мэн бэиӈэлтэкий эмрин, тарбач ноӈарбутан дэлмирин, 
LUK.1.69	ноӈан муттэки Эӈив Айчимӈагат, мэн кэлмэги Давид ӈунмидукун, эмувкэнин. 
LUK.1.70	Ноӈан хояв анӈану амаски Мэн мэтумӈэлби төрэндитэн муттэки эчин некэннэй болганарин, 
LUK.1.71	муту баргакалдукут, алитматтылдук-та дысуттэй гөнин, 
LUK.1.72	Ноӈан мут амтылдут Мэн илрами бөдэй гөнин, тарав-да ноӈарнюнтан Мэн гөлдэмэчими дӫӈчидай гөнин; 
LUK.1.73	тарав гөлдэмэчим Ноӈан Авраамду бөчэй, мут эливундут амандут, мутту-дэ бөдэй гөнин, 
LUK.1.74	баргакалдукут-та муту айчидай гөнин, ӈив-дэ эникэн ӈэлрэ, 
LUK.1.75	Ноӈман хэрлэникэн, айгараникан, эрэгэр мэр бинивур кэлмэлни бидэт, гөнин. 
LUK.1.76	Хи-си, Иоанн, Ойдэлэт Биси мэтумӈэн одинри; Хунӈит дюлдэлэн гиркаградинри, Ноӈан эмривэн эйдувэн бэилбу мэтуникэн, хоткан кимникан. 
LUK.1.77	Бэилтэки бөлганадинри, төнӈэкичу овканчатан аталаптиван, тачин айчивривутан мэтудинри. 
LUK.1.78	Хэвки эгдендулин илраӈчиридун ойгич нӫлтэн хенмэйдуки хедин. 
LUK.1.79	Тачин Хэвки химӈэндулэ тэгэттылбу ӈэрилукэндин, эрэгэр көкэм ӈэлрилбу бэлдин, хотарӈатта эрэгэр Аймулдантаки биситки нюндин.
LUK.1.80	Куӈа-си исуддин, мэргэбэддин, ониӈагалдула
LUK.2.1	Таракам тэгэмэр Август Римскай эйдулин төрэӈлин бэилбу таӈадяку овкандатан итум итурин. 
LUK.2.2	Таракам нонап бэилбу таӈадяк Сирияла, Квириний нунэмэттэкэн бисин. 
LUK.2.3	Теми эйдучэндюр бисил бэил бэйтэн мэн билэктэкивур таӈадяктаки хөрритэн. 
LUK.2.4	Иосиф, Давид ӈунмидукун бими, тачин-та-ти-тта Галилейскайдук городдук Назареттук, мэн билэктэкий, Давид городлан, Иудеяла бисилэ, Вифлеемтэки хөррин. 
LUK.2.5	Ноӈан таӈадяктаки Мариягли хөррин. Мария Иосифнюн мерэндэй гөлдыча бисин, таракам ноӈан осэри бисин. 
LUK.2.6	Вифлеемду Мария хутэлбэдилрин. 
LUK.2.7	Ноӈан дюлэгэӈгэй өмнигэй нярудьгай хутэлбэрин. Хөлнирил дюлатан хараӈай бакӈа туркурин, теми, Хулив, булатту чакалриди, хонӈачар иргэчэклэтэн дебэлдывундулэтэн аликла, нэдин.
LUK.2.8	Далила, авландула, явчимӈал явчидиттан. 
LUK.2.9	Долба ноӈарбутан дэпки Хэвки мэтумӈэн, ангел, ичулрин, Хэвки хэрридун хуталри. Тарав итми, явчимӈал хэӈулритэн. 
LUK.2.10	Хэвки мэтумӈэн ноӈартакитан гөнин:
LUK.2.10	– Эдилрэ ӈэлкилрэ! Би хунтэки, эйдуткин-дэ бэилтэки Өрэлдэм Хилбам хилбарам. 
LUK.2.11	Эрэв инэӈу Давид городлан хун Айчимӈасан, Хунӈисан Христос балдарин! 
LUK.2.12	Эчин хамагдим: хонӈачар иргэчэклэтэн дебэлдывундулэтэн аликла булатту чакалаттыв Хулив бакчис.
LUK.2.13	Өмнэкэн-тэ тарак Хэвки мэтумӈэн анчиндулан хоя няниндула бисил дялни тачин-та-ти-тта ичулритэн, ноӈартан эйдучэндюр Хэвкив эскэдилритэн, гөникэн:
LUK.2.14	– Ойлэт Няниндула бисив Хэвкив эскэрэп, төрлэ бисил, Хэвки илраннилни бэил долитан аймулдан бидэн!
LUK.2.15	Хэвки мэтумӈэлни няним огэски дэгэлрэкэтэн, явчимӈал мулгаритан:
LUK.2.15	– Вифлеемтэки хөргэр, як-та тала очаван иттэвур, яв тарак муттэки Хэвки мэтун?
LUK.2.16	Ноӈартан Вифлеемтэки хэлиӈэч хөрритэн, тарбач Марияв Иосифнюн бакалдаритан, Хулив-да, хөнӈачар иргэчэклэтэн, дебэлдывундулэтэн аликла дэсчиддыв, иттитэн. 
LUK.2.17	Тарав Хулив иттидюр, Хэвки Мэтумӈэн гөнчэвэн, мэркэр-дэ долдачавур эйдуткин бэилтэки тэлэӈритэн. 
LUK.2.18	Эйдучэндюр бэил, тарав тэлэӈу хякаӈчичал, мяӈчиритан. 
LUK.2.19	Мария тарав долдачай мэргэнды эрэгэр дявуттин, дөӈчирин-да. 
LUK.2.20	Явчимӈал, Хэвкив эскэникэр, амаски мучуритан, он-ка ноӈарбутан Хэвки мэтурин, яв-ка ноӈартан мэркэсэл иттитэн, долдаритан-да, тарав эйду бичэв өрэлдэритэн.
LUK.2.21	Дяпкан инэӈ елтэнэкэн, Хулив минэсэмкэнитэн, Ноӈман гэрбуритэн Иисус, Мария осэри эдлэн од, ангел гэрбучэдин.
LUK.2.22	Ок-ка Моисей Итундулин тэсэдекэтэн инэӈэӈэтэн елтэнин, Мария Иосифнюн Хулив Иерусалимтаки эмуритэн, Хунӈидут ичукэндэвур, 
LUK.2.23	Хунӈит итундулан дукуччагчинни: кубэчлэ бэйсэглэ нярив хулив, дюлэгэч балдачав, Хунӈидут бөгрэдэтэн, 
LUK.2.24	унэт Хунӈит итундулин анивум бөннэвур гасум дэгив бөдэвур.
LUK.2.25	Таракам Иерусалимна бэй Симеон гэрбэди бисин, ноӈан айгарари, хэррин-дэ бисин, ноӈан алачиддин, ок-та Израиль Айӈай бакчин. Хиргэбэн Хиран ноӈандулан бисин. 
LUK.2.26	Хиргэбэн Хиран ноӈман таимканин, эннэвэн көкэр, Хунӈит Хинмачаван эдлэй иттэ. 
LUK.2.27	Хиргэбэнь Хирань милтэрэмкэмчэ, Симеон Хэвки Дюлан эмрин. Мария Иосифнюн Хулив Иисусу эмурэкэтэн, Ноӈман Итундули нектэвур, 
LUK.2.28	Симеон Иисусу ӈаллай гадин, Хэвкитки өрэлдэникэн гөнин:
LUK.2.29	– Иткачимӈа! Тек мину, Мэн кэлмэги, Мэн гөнчэгчими, аич дялач тиӈэнри, 
LUK.2.30	мэн ясалди Хин Айчимус иттэку, 
LUK.2.31	тарав чэлэдун ӈунмирду Хин иткачавус, 
LUK.2.32	ӈэрим ач хэвкигчэлбу ӈэрилукэндэн Израиль ӈунминси хэрривэн.
LUK.2.33	Иосиф Мариянюн мяӈчиритан, Симеон Ноӈман гөнивэн. 
LUK.2.34	Тарбач Симеон аич-та бидэтэн төрэснин, Ноӈан энинтэкин Мариятки гөнин:
LUK.2.34	– Эду дэстириду Куӈаду хоял бэил Израилла аччаду одир, хан-да огэрэбдир, хөнтэл-эси налдаматчир. 
LUK.2.35	Хин-дэ ханиньси отлэвдин, – таракам хоял бэил мявундулатан мулгантан бичэ аӈабдин.
LUK.2.36	Тала унэт Анна, Асир ӈунмидукун, Фануил хунадин, таимкачимӈа, хагды атыкан, надам анӈану-ткан мерэӈчичэ, 
LUK.2.37	тадук атыкан окан навун бисин, ноӈан дяпканмяр дыгэн анӈанаӈан бисин. Анна Хэвки Дюдукун ок-та авуски-да эч хөргэрэр, ноӈан таду эрэгэр нэӈэддин, улрэв, олрав-да эч дептэ. 
LUK.2.38	Таракам ноӈан ноӈартакитан дагамриди, Хунӈивут эскэрин, эйдуткин-дэ, Иерусалим дэлмигэн алаттылтаки, Иисусу тэлэӈрин. 
LUK.2.39	Иосиф Мариянюн, Хунӈит итундулин некэннэвур мудакридюр, дюткивур, мэр городлавур Галилеяла бисилэ, Назаретла мучуритан. 
LUK.2.40	Куӈа иссуддин, эӈилбэддин, мэргэч оникан, Хэвкиду-дэ Ноӈан илрамрин.
LUK.2.41	Анӈинтан, Пасха одакан, Иисус энтылни Иерусалимтаки хөрроттэ. 
LUK.2.42	Иисус мян дӫр анӈанаӈан одакан, ноӈартан, эрэглэ неккэрэгрэгчюмур, хэбдекэдеклэ ӈэнритэн. 
LUK.2.43	Хэбдекэдек муднакан, энтылни дюткивур мучуритан, Иисус-нян Иерусалимна эмэптин. Энтылни тарав эмэптивэн эчилтэн хар, 
LUK.2.44	хөнтэлнюн бэилнюн мучуридин гэрбэттитэн. Иосиф Мариянюн, мучудякатан өмэн инэӈ елтэнэкэн, Иисус аччаван мэддитэн, дялбур долитан Ноӈман гэлэтэдилритэн. 
LUK.2.45	Туркуридюр Ноӈман бакӈа, Иерусалимна мучуритан, тала Ноӈман гэлэтэдилритэн. 
LUK.2.46	Илилатан-такан инэӈнэ Куӈав Хэвки Дюлан бакритан. Иисус хупкучимӈэл долатан тэгэттин, ноӈарбутан долчиникан, улгэмэм-дэ улгиминикэн. 
LUK.2.47	Эйду тала бисил, Ноӈман долчиччал, мяӈчиритан, Куӈа мэргэч, баргучилан-да бисивэн. 
LUK.2.48	Энтылни мянитан, Ноӈман тала итми.
LUK.2.48	– Хули! Ядай Хи тачимур муну неккөччинри, муну мэргэчукэнэнри? Бу амнюнси хевулру, Хину эрэли гэлэтми, – энинни Ноӈман улгэмрин.
LUK.2.49	– Ядавур ху Мину гэлэтэс? – Ноӈан улгэмрин. – Эв ху эчилсэн хар, Би элэ, мэн Амми Дюлан, биннэву?
LUK.2.50	Энтылни эчилтэн унур, яв-да Иисус ноӈартакитан гөнчэвэн. 
LUK.2.51	Иисус ноӈарнюнтан Назаретла мучурин, эрэгэр энтылби долдари бисин. Мария гору тарав бичэв дӫӈчирин, мэргэндулэй дявуттин. 
LUK.2.52	Иисус иссуддин, иссудникэн унэт ойлин мэргэбэддин. Хэвки, бэил-дэ Ноӈман унэт энтэкэе аяваладдитан.
LUK.3.1	Мян тунӈилатан анӈаннан тэгэмэр Тиберий ӈунэмэчиддэкэн, ок-ка Понтий Пилат Иудеяла бэгэрэддэкэн, Ирод дыгитэн бэгэнтэн
LUK.3.2	дюлэгэл хиргэмӈэл Анна, Кайафа-да бисэкэтэн, тарав анӈану ониӈагла Хэвки Иоану, Захария хуттон, таимканин. 
LUK.3.3	Нян Иоанн Иордан чэлэлин төрэӈнин гиркавачидилрин, эйдувэн бэилбу эридилрин, мэрур хэвкигдэтэн, төнӈэкичитэн-дэ аталабдан, мөлэ мэрур авдатан. 
LUK.3.4	Пророк Исайя дукундулан эчин дукуттан: «Иркамӈа дылганни ониӈагла исни: Хунӈит хотарӈан хотарлилра, дюгармаган ӈунэмэч овкалра, 
LUK.3.5	авлар-да гудалбадатан, урэкчэр, хөпкэчэр-дэ тобэмкулбэдэтэн, кяваӈил-да хотарал ӈунэлбэдэтэн, мукалрапчил хоторал булдатыл одатан: 
LUK.3.6	таракам кубэч төрлэ инил бэил Хэвки айчириван итчир».
LUK.3.7	Иоанн хэвкигнэрилтэки бэилтэки гөвэттэн:
LUK.3.7	– Дябда балдавканчанни! Ӈи хуну хупкурин биннэдук милэндук аибаннавусан? 
LUK.3.8	Айдитач хэвкигриннэвур аю овканчадюр уталукалра! Эмэкэнтэкэн мэркэсэл эчин мулгатта: «Мут Авраамач амантарап», – хунтэки гөнэм, Хэвки эдук-тэ дӫлдук Авраам хурэлгэн хутэлбэвкэндин. 
LUK.3.9	Укал тобар хякита ӈиӈтэн анчиндулан дэсчин: хякитав, аю исунмэю этыв балдавкатты, чикиватта, нян тогла дурдэн улэвэттэ.
LUK.3.10	Бэил-нян ноӈман улгэмритэн:
LUK.3.10	– Яв-нян бу некчиру?
LUK.3.11	Иоанн ноӈартакин барагрин:
LUK.3.11	– Ӈи-ккэ дӫрди урбаклаттан, тарак ач урбаклаттыду гяӈи бөдэн; ирэк-кэ деплэӈэлкэн, тачинда бөритматтан.
LUK.3.12	Тамам чакачимӈал
LUK.3.12	– Хупкучимӈэ! Яв-нян бу некчиру?
LUK.3.13	Ноӈан ноӈартакитан баргуттин:
LUK.3.13	– Хунду бөннэвутэн ойдэлин хулэку эмэкэн гасчир.
LUK.3.14	Кусимӈэл-дэ ноӈман улгимиритэн:
LUK.3.14	– Яв-нян бу некчиру?
LUK.3.14	Нян Иоанн ноӈартакитан гөнин:
LUK.3.14	– Ӈив-дэ эмэкэн осэйрэ, ӈив-дэ эмэкэн олэкчир, нян мэр таманнадюр-такан бигрэӈэсэн.
LUK.3.15	Чэлэн бэил алачиддакатан, эйдучэндюр-дэ мэргэндюр чэлэдин Иоам мулгачиддакатан, эсни-нян Христос эрэк бис, 
LUK.3.16	Иоанн эйдуткин барагрин:
LUK.3.16	– Би хуну мөч хэвкиггөттэм, тарбач миндук Эӈидьмэр эмэддэн, тарак унтан дялипкиррон-да мин эннэву онелгэӈэ, Ноӈан хуну Хиргэптыч Хирань, тогач-та хэвкигдин. 
LUK.3.17	Ноӈан эрунни ӈаллан бисни, нян Ноӈан мэн эдэмкэчидеки тэсчин, тадук-нян пшеницав нэкулэй чакчин, эмэпчэв-нян пшеница ораттон этич хиврэ тогач дурутчин.
LUK.3.18	Унэт хояв гэрбэтэӈу бэилтэки ноӈан аю мэтуттин, таралбу хупкутникэн. 
LUK.3.19	Нян дыгитэн бэгэн Ирод, мэн акми атикаӈдулин Иродиадали Иоанду усалтавкамча, хөнтэли-дэ эйдулин кэнелич овканчалий, 
LUK.3.20	унэт тарак ойдэлин усу хаврин: Иоам хинючакла тэгукэнин.
LUK.3.21	Ок-ка чэлэн эйдучэндюр бэил хэвкигэддэкэтэн, Иисус-та, хэвкивчэ укал, нэӈэддин: нянин аӈаптин, 
LUK.3.22	тадук-нян ноӈандулан Хиргэпты Хиран, дэги голубь бадань бадлатты, ӈэнрин, няниндук-та дылган илрин: «Хи Мин аявриву Хуту, Хи Мин аявривчиму обдан Эетчимӈэву!»
LUK.3.23	Иисус мэн некэнмэи некэдилрэкэн, иланмяр анӈанаӈан бисин, бэил мулгачиӈчинтан, ноӈан Иосиф Хутэн нян Илия, 
LUK.3.24	Матфат, Левий, Мелхий, Ианнай, Иосиф, 
LUK.3.25	Маттафий, Амос, Наум, Еслим, Наггей, 
LUK.3.26	Мааф, Маттафий, Семей, Иосиф, Иуда, 
LUK.3.27	Иоаннан, Рис, Зоровавель, Салафиил, Нирий, 
LUK.3.28	Мелхий, Аддий, Косам, Елмодам, Ир, 
LUK.3.29	Иосий, Елиезер, Иорим, Матфат, Левий, 
LUK.3.30	Симеон, Иуда, Иосиф, Ионан, Елиаким, 
LUK.3.31	Мелеай, Маин, Маттаф, Нафан, Давид, 
LUK.3.32	Иессей, Овид, Вооз, Салмон, Наассон, 
LUK.3.33	Аминадав, Арам, Есром, Фарес, Иуда, 
LUK.3.34	Иаков, Исаак, Авраам, Фарр, Нахор, 
LUK.3.35	Серух, Рагав, Фалек, Евер, Сал, 
LUK.3.36	Каинан, Арфаксад, Сим, Ной, Ламех, 
LUK.3.37	Мафусал, Евнох, Иаред, Малелеил, Каинан, 
LUK.3.38	Енос, Сиф, Адам – хутэтэн бисин, Адам-нян Хэвки хутэн бисин.
LUK.4.1	Иисус Хиргэбэнь Хирань
LUK.4.2	таду-нян дыгэнмяр инэӈу Ноӈан дявалду ярутаврин, таралду инэӈэлду яв-да эч дептэ, тедэ энтэкэе демэлрин. 
LUK.4.3	Тарбач дявал Ноӈантакин гөнин:
LUK.4.3	– Хэвки Хутэн бими, эрэк дӫл килеб одан овкали.
LUK.4.4	Иисус барагрин:
LUK.4.4	– Хэвки дукундулан дукуттан: «Бэй килебэчтэкэн этэн ин, тарбач унэт Хэвки төрэндин-дэ индин».
LUK.4.5	Тарбач дявал Ноӈман гудла урэкчэндулэ ойчивканиди, төр мудаклин тэгэмэрэдекэлбу бисилбу Иисусту өмнэкэнтэ ичувкэнин. 
LUK.4.6	Нян дявал Ноӈантакин гөнин:
LUK.4.6	– Хинду эрэлбу чэлэвэн тэгэмэрэдекэлбу дявуттас бөдим, эӈив-дэ дявучинмайгас, эӈэевутэн, эскэмутэн-дэ бөдим, эрэк эйду минду бөпчэ, теми-дэ би ӈиду-ккэ бөмсэм, таду-да бөдим. 
LUK.4.7	Тек, хи мину дэпки нэӈникэн хэнӈэнди тикрэкэс, эрэк чэлэди Хинӈи бидин.
LUK.4.8	Иисус ноӈантакин барагрин:
LUK.4.8	– Анчиндукув хөрли, хайтан, Хэвки дукундулан дукуттан: «Мэн-тэкэн Хунӈиткий Хэвкитки нэӈгэрэли, Ноӈман-такан өмэм долчиграли».
LUK.4.9	Тарбач дявал Иисусу Иерусалимтаки ӈэнурин, нян ойлэ Хэвки Дюн хурэлэн ноӈман ойчивканин, нян Иисустэки гөнин:
LUK.4.9	– Хэвки Хутэн бими, мэни хэссэки улэли, 
LUK.4.10	тарбач эчин дукуттакан: «Мэн ангелалби гөндин Хину этудэтэн, 
LUK.4.11	тарал Хину ӈалдюр хэпкэндир, бөдэлди дӫлла эдэс нисэӈчир».
LUK.4.12	Иисус ноӈантакин барагрин:
LUK.4.12	– Хэвки дукундулан дукуттан: «Эди Хунӈий Хэвкив яруткарар».
LUK.4.13	Нян дявал Иисусу гэрбэтэӈэч яруттай оддин, Ноӈман адыклан-да эмэнин.
LUK.4.14	Иисус Хиргэбэн Хирандин эӈилэтты Галилеяла мучурин. Эрэли төрли бисил Ноӈман долдаритан. 
LUK.4.15	Ноӈан нэӈэдекэлдули дюлдули хупкучиддин, эйду-дэ Ноӈман эскэритэн.
LUK.4.16	Өмнэкэн Иисус мэн иргэпчэптэкий городтаки Назареттаки хөррин, нян субботала, мэн неккөчигчими, нэӈэдеклэ дюла ӈэнрин, таду таӈаддай илрин. 
LUK.4.17	Ноӈандун мэтумӈэ Исайя книгаван бөритэн; Ноӈан, книгав аӈариди, эчин дукуттыв бакрин: 
