MAT.1.1	ಇದ್ ಯೇಸು 
MAT.1.13	ಜೆರುಬ್ಬಾಬೆಲಂಡ ಮೋಂವೊ ಅಬಿಹೂದ. ಅಬಿಹೂದಂಡ ಮೋಂವೊ ಎಲ್ಯಕೀಮ. ಎಲ್ಯಕೀಮಂಡ ಮೋಂವೊ ಅಜೋರ. 
MAT.1.14	ಅಜೋರಂಡ ಮೋಂವೊ ಸದೋಕ. ಸದೋಕಂಡ ಮೋಂವೊ ಅಖೀಮ. ಅಖೀಮಂಡ ಮೋಂವೊ ಎಲಿಹೂದ. 
MAT.1.15	ಎಲಿಹೂದಂಡ ಮೋಂವೊ ಎಲಿಯಾಜರ. ಎಲಿಯಾಜರಂಡ ಮೋಂವೊ ಮತ್ತಾನ. ಮತ್ತಾನಂಡ ಮೋಂವೊ ಯಾಕೋಬ. 
MAT.1.16	ಯಾಕೋಬಂಡ ಮೋಂವೊ ಮರಿಯಡ ವಡಿಯನಾನ ಯೋಸೇಫ. ಈ ಮರಿಯಳ್‌ಂಜ 
MAT.1.17	ಇನ್ನನೆ 
MAT.1.18	ಯೇಸು ಪುಟ್ಟ್‌ನ ವಿವರ ಎನ್ನನೆ ಎಣ್ಣ್‌ಚೇಂಗಿ, ಯೇಸುರ ಅವ್ವ ಮರಿಯ ಯೋಸೇಫಂಗ್ ಮಂಗಲಕ್ ನಿಶ್ಚಯ ಆಯಿತ್ಂಜತ್. ಅಯಿಂಗ ದಂಡಾಳು ಕೂಡಿ ಬಪ್ಪಕ್ ಮಿಂಞಲೇ ಅಂವೊ ದೇವಡ 
MAT.1.19	ಯೋಸೇಫ ನೀತಿವಂತಂವೊನಾಯಿತ್ಂಜಗುಂಡ್, ಊರ್‌ರ ಜನಡ ಮಿಂಞತ್ ಮರಿಯಳ ಅವಮಾನ ಮಾಡ್‌ವಕ್ ಮನಸ್ಸಿಲ್ಲತೆ, ಅವಡ ಸಂಬಂದತ್‍ನ ಗುಟ್ಟಾಯಿತ್ ಬುಡ್‌ವಕ್ ತೀರ್ಮಾನ ಮಾಡಿತ್ಂಜತ್.
MAT.1.20	ಯೋಸೇಫ ಇನ್ನನೆ ಗೇನ ಮಾಡಿಯಂಡಿಪ್ಪಕ, ಒರ್ ಒಡೆಯಂಡ ದೂತ ಅಂವೊಂಗ್ ಸ್ವಪ್ನತ್‌ಲ್ ಕಾಂಬ್‌ಚಿಟ್ಟಿತ್: 
MAT.1.21	ಅವ ಒರ್ ಕ್‍ಣ್ಣ ಕುಂಞಿನ ಪೆರ್‌ವ. ಅಂವೊಂಗ್ ಯೇಸೂಂದ್
MAT.1.23	ಆ ತಕ್ಕ್ ಎಂತ ಎಣ್ಣ್‌ಚೇಂಗಿ: ನೋಟ್, ಒರ್ ಕನ್ನಿ ಮೂಡಿ ಕೆಲಕರ್ತಿಯಾಯಿತ್ ಒರ್ ಮೋಂವೊನ ಪೆರ್‌ವ; ಅಂವೊಂಗ್ ಇಮ್ಮಾನುವೇಲ್ ಎಣ್ಣುವ ಪೆದ ಇಡಂಡು. ಇಮ್ಮಾನುವೇಲ್ ಎಣ್ಣ್‌ಚೇಂಗಿ: ದೇವ ನಂಗಡ ಕೂಡೆ ಉಂಡ್‍ೕಂದ್ ಅರ್ಥ.
MAT.1.24	ಅಕ್ಕ ಯೋಸೇಫ ವರ್‌ಕ್ಂಜ ಎದ್ದತ್. ಒಡೆಯಂಡ ದೂತ ಆಜ್ಞೆ ಮಾಡ್‍ನನೆಕೆ ಮರಿಯನ ಮಂಗಲ ಕಯಿಚತ್. 
MAT.1.25	ಆಚೇಂಗಿ, ಮರಿಯ ಕ್‍ಣ್ಣ ಕುಂಞಿನ ಪೆರ್‌ವಕತ್ತನೆ ಅಂವೊ ಅವಡ ಕೂಡೆ ಬುದ್ದವಕಿಂಜಿಲೆ. ಕುಂಞಿ ಪುಟ್ಟ್‌ನ ಪಿಂಞ ಯೋಸೇಫ ಕುಂಞಿಕ್ ಯೇಸೂಂದ್ ಪೆದ ಇಟ್ಟತ್.
MAT.2.1	ರಾಜನಾನ ಹೆರೋದಂಡ ದಿವಸತ್‍ಲ್ ಯೂದಾಯ ಪ್ರಾಂತ್ಯತ್‍ಲ್ ಬೇತ್ಲೆಹೇಮ್ ಎಣ್ಣುವ ಊರ್‌ಲ್ ಯೇಸು ಪುಟ್ಟ್‌ಚಿ. ಅಕ್ಕ ಕ್‍ೕಕ್ ದಿಕ್ಕಿಂಜ ಬಂದ ಚೆನ್ನ ಜ್ಞಾನಿಯಂಗ ಯೆರೂಸಲೇಮ್‌ಕ್ ಬಂತ್: 
MAT.2.2	ಯೆಹೂದ್ಯಂಗಡ ರಾಜನಾಯಿತ್ ಪುಟ್ಟ್‌ನ ಕುಂಞಿ ಎಲ್ಲಿ? ಕ್‍ೕಕ್ ದಿಕ್ಕ್‌ಲ್ ಅಂವೊಂಡ ನಕ್ಷತ್ರತ್‍ನ ಕಂಡಿತ್, ಅಂವೊನ ಆರಾದನೆ ಮಾಡ್‌ವಕ್ ನಂಗ ಬಂದಿಯೇಂದ್ ಎಣ್ಣ್‌ಚಿ.
MAT.2.3	ಹೆರೋದ ರಾಜ ಈ ಸುದ್ದಿನ ಕ್‍ೕಪಕ, ಅಂವೊಂಡ ಮನಸ್ಸ್‌ಕ್ ಗಾಬರಿ ಆಚಿ. ಅಂವೊಂಗ್ ಮಾತ್ರ ಅಲ್ಲ ಯೆರೂಸಲೇಮ್‍ಲ್ ಉಳ್ಳಯಿಂಗಕೆಲ್ಲಾ ಗಾಬರಿ ಆಚಿ. 
MAT.2.4	ರಾಜ ಮುಕ್ಯ 
MAT.2.5	ಅಯಿಂಗ ರಾಜಂಗ್, ಯೂದಾಯತ್‍ರ ಬೇತ್ಲೆಹೇಮ್‌ಲ್ ಪುಟ್ಟ್‌ವಾಂದ್ ಎಣ್ಣ್‌ಚಿ. ಎನ್ನಂಗೆಣ್ಣ್‌ಚೇಂಗಿ:
MAT.2.6	ಯೂದಾಯ ಪ್ರಾಂತ್ಯತ್‍ರ ಬೇತ್ಲೆಹೇಮೇ,
MAT.2.6	ಯೆಹೂದ್ಯಂಡ ಅದಿಕಾರತ್ ನೀ ಚೆರಿಯದಲ್ಲ;
MAT.2.6	ನಾಡ ಇಸ್ರಾಯೇಲ್ ಜನಳ ಆಳುವ ಅದಿಪತಿ
MAT.2.6	ನೀಡಗುಂಡ್ ಪುಟ್ಟ್‌ವಾಂದ್ ಪ್ರಾವಾದಿಯ
MAT.2.7	ಅಕ್ಕ ಹೆರೋದ ರಾಜ ಅಲ್ಲಿಕ್ ಬಂದ ಜ್ಞಾನಿಯಳ ಗುಟ್ಟಾಯಿತ್ ಕಾಕಿತ್: ಅಯಿಂಗ ಏದ್ ಸಮಯತ್‍ಲ್ ನಕ್ಷತ್ರತ್‍ನ ಕಂಡತ್‍ೕಂದ್ ಕ್‍ೕಟತ್. 
MAT.2.8	ನಿಂಗ ಬೆತ್ಲೆಹೇಮ್‍ಕ್ ಪೋಯಿತ್ ಆ ಕುಂಞಿ ಎಲ್ಲಿ ಉಂಡ್‍ೕಂದ್ ತ್‍ೕಡಿ, ಆ ಕುಂಞಿನ ನಿಂಗ ಕಂಡ ಪಿಂಞ ನಾಕ್ ಎಣ್ಣಿ. ನಾನ್ ಸಹ ಪೋಯಿತ್ ಆ ಕುಂಞಿನ ಆರಾದನೆ ಮಾಡ್‌ವೀಂದ್ ಅಯಿಂಗಕ್ ಎಣ್ಣ್‌ಚಿ.
MAT.2.9	ರಾಜ ಎಣ್ಣ್‌ನಾನ ಕ್‍ೕಟಿತ್ ಅಲ್ಲಿಂಜ ಪೋಪಕ, ಅಯಿಂಗ ಕ್‍ೕಕ್ ದಿಕ್ಕ್‌ಲ್ ಕಂಡ ಆ ನಕ್ಷತ್ರ ಅಯಿಂಗಡ ಮಿಂಞತ್ ಪೋಯಂಡ್ ಕುಂಞಿ ಇಂಜ ಜಾಗಕ್ ಬಂತ್ ನಿಂದತ್. 
MAT.2.10	ಅಯಿಂಗ ಆ ನಕ್ಷತ್ರತ್‍ನ ಕಾಂಬಕ ದುಂಬ ಕುಶಿಪಟ್ಟತ್. 
MAT.2.11	ಅಯಿಂಗ ಆ ಮನೆರ ಒಳ್‍ಕ್ ಪೋಪಂಜಿ ಅಲ್ಲಿ ಆ ಕುಂಞಿನೂ ಕುಂಞಿರ ಅವ್ವ ಮರಿಯಳನೂ ಕಂಡತ್. ಕಂಡ ಪಿಂಞ ಅಯಿಂಗ ಮೊಣಕಾಲ್ ಊರಿತ್ ಅಂವೊನ ಆರಾದನೆ ಮಾಡ್‍ಚಿ. ಅಯಿಂಗ ಗಂಟ್‍ನ ತೊರಂದಿತ್ ಪೊನ್ನ್, ದೂಪ, ರಕ್ತಬೋಳನೆಲ್ಲ ಕೊಡ್‍ತತ್. 
MAT.2.12	ಪಿಂಞ ದೇವ ಅಯಿಂಗಕ್ ಸ್ವಪ್ನತ್‌ಲ್: ನಿಂಗ ಹೆರೋದ ರಾಜಂಡ ಪಕ್ಕ ಪೋಂಡಾಂದ್ ಎಚ್ಚರ ಮಾಡ್‍ನಗುಂಡ್ ಅಯಿಂಗ ಅಲ್ಲಿಂಜ ಬೋರೆ ಬಟ್ಟೇಕಾಲೆ ಅಯಿಂಗಡ ಊರ್‌ಕ್ ಪೋಚಿ.
MAT.2.13	ಅಯಿಂಗ ಅಲ್ಲಿಂಜ ಪೋನ ಪಿಂಞ ಒಡೆಯಂಡ ದೂತ ಯೋಸೇಫಂಗ್ ಸ್ವಪ್ನತ್‌ಲ್ ಕಾಂಬ್‌ಚಿಟ್ಟಂಡ್: ಹೆರೋದ ರಾಜ, ಕುಂಞಿನ ಕೊಲ್ಲುವಕ್ ನೋಟುವ. ನೀನ್ ನೀಡ ಕುಂಞಿನ ಪಿಂಞ ಕುಂಞಿರ ಅವ್ವನ ಕಾಕಿಯಂಡ್ ಐಗುಪ್ತ ದೇಶಕ್ ಪೋಯಿತ್ ಬಚಾವ್ ಆಯಿರ್. ನಾನ್ ಎಣ್ಣ್‌ವಕತ್ತನೆ ಅಲ್ಲಿ ಇರ್‍ೕಂದ್ ಎಣ್ಣ್‌ಚಿ. 
MAT.2.14	ಯೋಸೇಫ ವರ್‌ಕ್ಂಜ ಎದ್ದಿತ್ ಕುಂಞಿನ ಪಿಂಞ ಅವ್ವನ ಕಾಕಿಯಂಡ್ ಬಯಿಟೇ ಐಗುಪ್ತ ದೇಶಕ್ ಪೋಯಿತ್, 
MAT.2.15	ಹೆರೋದ ರಾಜ ಚತ್ತ್‌ಪೋಪಕತ್ತನೆ ಅಲ್ಲೇ ಇಂಜತ್. ಐಗುಪ್ತ ದೇಶತ್ಂಜ ನಾಡ ಮೋಂವೊನ ಬಪ್ಪ್‌ಚಿಟ್ಟತ್‍ೕಂದ್ 
MAT.2.16	ಜ್ಞಾನಿಯ ಅಂವೊಂಗ್ ಮೋಸ ಮಾಡಿತ್ ಬೋರೆ ಬಟ್ಟೇಕಾಲೆ ಪೋಯಿರ್‌ತ್‍ೕಂದ್ ಗೊತ್ತಾನ ಪಿಂಞ, ಹೆರೋದ ರಾಜಂಗ್ ದುಂಬ ಚೆಡಿ ಬಾತ್. ತಾಂಡ ಜನತ್‍ನ ಅಯಿಚಿತ್, ಜ್ಞಾನಿಯಡ ಪಕ್ಕ ವಿಚಾರ ಮಾಡ್‍ನ ಕಾಲಕ್ ಸರಿಯಾಯಿತ್ ಬೆತ್ಲಹೇಮ್ ಪಿಂಞ ಅದ್ಂಡ ಸುತ್ತ್‌ಮುತ್ತ್‌ಲ್ ಉಳ್ಳ ದಂಡ್ ವಯಸ್‍ಕ್ ಒಳ್‍ಲ್ ಉಳ್ಳ ಎಲ್ಲಾ ಕ್‍ಣ್ಣ ಕುಂಞಿಯಳ ಕೊಲ್ಲಂಡೂಂದ್ ಹುಕುಮ್ ಕೊಡ್‍ತತ್. 
MAT.2.17	ಯೆರೆಮೀಯನೆಂಬ 
MAT.2.18	ರಾಮ ಎಣ್ಣುವ ಜಾಗತ್‍ಲ್ ನೆರ್‍ಕುವ ವಾಣಿ ಕ್‍ೕಟತ್.
MAT.2.18	ಮೊರಡ್‍ವದ್ ಪಿಂಞ ಗೋಳಾಟ ಜಾಸ್ತಿ ಆಚಿ.
MAT.2.18	ರಾಹೇಲ
MAT.2.18	ಅಯಿಂಗ ಇಲ್ಲತೆ ಪೋನಾಂಗ್ ಸಮಾದಾನಯಿಲ್ಲತೆ ಇಂಜತ್.
MAT.2.19	ಹೆರೋದ ರಾಜ ಚತ್ತ್‌ಪೋನ ಪಿಂಞ ಐಗುಪ್ತತ್‍ಲ್, ಒಡೆಯಂಡ ದೂತ ಯೋಸೇಫಂಗ್ ಸ್ವಪ್ನತ್‌ಲ್ ಕಾಂಬ್‌ಚಿಟ್ಟಂಡ್: 
MAT.2.20	ಏಳ್, ನೀಡ ಕುಂಞಿನ ಪಿಂಞ ಅದ್ಂಡ ಅವ್ವನ ಕಾಕಿತ್ ಇಸ್ರಾಯೇಲ್ ದೇಶಕ್ ಪೋ. ಕುಂಞಿನ ಕೊಲ್ಲ್‌ವಕ್ ನೋಟಿಯಂಡಿಂಜ ಜನ ಚತ್ತ್ ಪೋಚೀಂದ್ ಎಣ್ಣ್‌ಚಿ.
MAT.2.21	ಆನಗುಂಡ್, ಯೋಸೇಫ ಕುಂಞಿ ಪಿಂಞ ಅವ್ವನ ಕಾಕಿಯಂಡ್ ಇಸ್ರಾಯೇಲ್‍ಕ್ ಪೋಚಿ. 
MAT.2.22	ಆಚೇಂಗಿ ಅಲ್ಲಿ ಪೋಯಿತ್, ಹೆರೋದ ರಾಜಂಡ ಮೋಂವೊ ಅರ್ಖೆಲಾಯ ಎಣ್ಣ್‌ವಂವೊ ಯೆಹೂದ್ಯ ಪ್ರಾಂತ್ಯತ್‍ರ ರಾಜನಾಯಿತ್ ಉಂಡ್‍ೕಂದ್ ಗೊತ್ತಾನ ಪಿಂಞ ಯೋಸೇಫಂಗ್ ದುಂಬ ಪೋಡಿ ಆಚಿ. ಪುನಃ ಯೋಸೇಫಂಗ್ ಸ್ವಪ್ನತ್‌ಲ್ ಎಂತ ಮಾಡಂಡೂಂದ್ ಎಚ್ಚರ ಕ್‍ಟ್ಟ್‌ಚಿ. 
MAT.2.23	ಆನಗುಂಡ್ ಅಂವೊ ನಜರೇತ್ ಎಣ್ಣುವ ಊರ್‌ಕ್ ಪೋಯಿತ್ ವಾಸಮಾಡ್‍ಚಿ. ಅಂವೊನ ನಜರೇತ್ ಎಣ್ಣುವ ಊರ್‌ಕ್ ಕೂಡ್‍ನಂವೋಂದ್ ಕಾಕ್‍ವಾಂದ್ 
MAT.3.1	ದುಂಬ ಕಾಲ ಆನ ಪಿಂಞ 
MAT.3.2	ನಿಂಗ ನಿಂಗಡ ಪಾಪಕಾಯಿತ್ ಪಶ್ಚಾತಾಪ ಪಟ್ಟಿತ್ ದೇವಡ ಪಕ್ಕ ಬಾರಿ, ಎನ್ನಂಗೆಣ್ಣ್‌ಚೇಂಗಿ ಪರಲೋಕ ರಾಜ್ಯ ಬೆರಿಯ ಬಪ್ಪಾಂದ್ ಬೋದನೆ ಮಾಡ್‌ವಕ್ ಸುರ್ ಮಾಡ್‍ಚಿ.
MAT.3.3	ಒಡೆಯ ಬಂದಂಡ್ ಉಂಡ್,
MAT.3.3	ಅದ್ಂಗಾಯಿತ್ ದೇವ ಬಪ್ಪಕ್ ಉಳ್ಳ ಬಟ್ಟೇನ ತಯಾರ್ ಮಾಡಿತ್,
MAT.3.3	ಚಾಯಿ ಮಾಡೀಂದ್ ಮಣಬೂಮಿಲ್ ಕಾಕ್‍ವಂವೊಂಡ ಸದ್ದ್ ಉಂಡ್‍ೕಂದ್,
MAT.3.3	ಯೆಶಾಯ ಎಣ್ಣುವ ಪ್ರವಾದಿ ಪ್ರವಾದನೆ ಎಣ್ಣ್‌ನಂವೊ ಇಂವೊನೇ.
MAT.3.4	ಯೋಹಾನ ಒಂಟೆರ ರೋಮತ್‍ಲ್ ಮಾಡ್‍ನ ಬಟ್ಟೆ ಇಟ್ಟಂಡಿಂಜತ್. ಅಂವೊಂಡ ಸೊಂಟಕ್ ಚರ್ಮತ್‌ರ ಪಟ್ಟಿ ಕೆಟ್ಟಿಯಂಡಿಂಜತ್. ಅಂವೊಂಡ ಆಹಾರ ಪಚ್ಚೆ ಪುಕ್ಕ ಪಿಂಞ ಕಾಡ್‍ಲ್ ಕ್‍ಟ್ಟುವ ತೇನ್ ಆಯಿತಿಂಜತ್.
MAT.3.5	ಜನ ಯೂದಾಯ ಎಣ್ಣುವ ನಾಡಿಂಜಲು ಯೆರೂಸಲೇಮ್ಂಜಲು ಅಂವೊಂಡ ಪಕ್ಕ ಬಾತ್. 
MAT.3.6	ಅಯಿಂಗ ಅಯಿಂಗಡ ಪಾಪತ್‍ನ ಎಣ್ಣ್‌ಚಿ. 
MAT.3.7	ದುಂಬ ಫರಿಸಾಯಂಗ ಪಿಂಞ 
MAT.3.8	ನಿಂಗ ನೇರಾಯಿತ್ ಪಶ್ಚಾತಾಪ ಪಟ್ಟಿತ್ ಬದ್‍ಲಾಯಿತ್ ಉಳ್ಳಿರಾಂದ್, ನಿಂಗಡ ಬದ್‍ಕ್‍ಲ್ ಪಿಂಞ ಕ್ರಿಯೇಲ್ ಕಾಟಿ.
MAT.3.10	ಇಕ್ಕಲೆ ಮರತ್‍ರ ಬೇರ್‌ರ ಪಕ್ಕ ಕೊಡಲಿನ ಬೆಚ್ಚಿತುಂಡ್. ಆನಗುಂಡ್ ನಲ್ಲ ಪಣ್ಣ್ ತರತ ಮರತ್‌ನೆಲ್ಲಾ ಕೆತ್ತಿತ್ ತಿತ್ತ್‌ಕ್ ಇಡ್‌ವ.
MAT.3.11	ನಿಂಗಡ ಮನಸ್ಸ್ ದೇವಡಲ್ಲಿಕ್ ತಿರ್‍ಗ್‍ಚೀಂದ್ ನಾನ್ ನಿಂಗಕ್ ನೀರ್‌ಲ್ 
MAT.3.12	ಅಂವೊಂಡ ಕೈಯಿಲ್ ಒರ್ ಪಾತ್‍ಮೊರ ಉಂಡ್, ಅದ್‍ನಗುಂಡ್ ಅಂವೊ ತಾಂಡ ಕಳತ್‌ನ ಶುದ್ದ ಮಾಡಿತ್ ಪಿಲ್ಲ್‌ಕಾಳ್‌ನ ಗೋದಿ ಕಾಳ್‌ಯಿಂಜ ಬೋರೆ ಮಾಡಿತ್ ತಾಂಡ ಗೋದಿ ಕಾಳ್‌ನ ಪತ್ತಾಯ ಕೋಂಬರೆಲ್ ದುಂಬ್‌ಚಿಡ್‌ವ; ಪಿಲ್ಲ್‌ಕಾಳ್‌ನ ಕೆಡತ ತಿತ್ತ್‌ಲ್ ಚುಡ್‌ವಾಂದ್ ಎಣ್ಣ್‌ಚಿ.
MAT.3.13	ಆ ಸಮಯತ್‍ಲ್ ಯೇಸು ಯೋಹಾನನಗುಂಡ್ 
MAT.3.14	ಅಕ್ಕ ಯೋಹಾನ: ನಾನೇ ನೀಡ ಪಕ್ಕ ಬಂದಿತ್ 
MAT.3.15	ಅದ್ಂಗ್ ಯೇಸು: ಇಕ್ಕ ಇದ್‍ನ ಇನ್ನನೆ ಮಾಡ್‌ವಕ್ ಬುಡ್. ಇನ್ನನೆ ಮಾಡ್‌ವಕ ನಂಗ ದೇವಡ ಎಲ್ಲಾ ನೀತಿ ಕಾರ್ಯತ್‍ನ ಪೂರ್ತಿ ಮಾಡ್‌ವಾಂದ್ ಎಣ್ಣ್‌ನಾಂಗ್ ಯೋಹಾನ ಒತ್ತಂಡತ್. 
MAT.3.16	ಯೇಸು 
MAT.3.17	ಅಕ್ಕ, ಪರಲೋಕತ್ಂಜ ಒರ್ ವಾಣಿ: ಇಂವೊ ನಾಡ ಕೊದಿರ ಮೋಂವೊ, ಇಂವೊಂಡ ಮೇಲೆ ನಾಕ್ ದುಂಬ ಕುಶಿ ಉಂಡ್‍ೕಂದ್ ಎಣ್ಣ್‌ಚಿ.
MAT.4.1	ಪಿಂಞ ಸೈತಾನ ಯೇಸುನ ಸೋದನೆ ಮಾಡ್‌ವಕಾಯಿತ್ 
MAT.4.2	ಯೇಸು ನಾಪದ್ ದಿವಸ ಪೋಲ್ ಬಯಿಟ್ ಒಂದು ತಿಂಗತೆ ಪಟ್ಟಣಿ ನಿಂದಂಡಿಂಜಗುಂಡ್, ಅಂವೊಂಗ್ ದುಂಬ ಕೆಲ ಪಯಿಚತ್.
MAT.4.3	ಅಕ್ಕ ಸೈತಾನ ಯೇಸುರ ಪಕ್ಕ ಬಂತ್: ನೀನ್ ದೇವಡ ಮೋಂವೊನಾಚೇಂಗಿ ಈ ಕಲ್ಲ್‌ನ ಒಟ್ಟಿ ಆಪಕ್ ಅಪ್ಪಣೆ ಕೊಡ್‍ೕಂದ್ ಎಣ್ಣ್‌ಚಿ.
MAT.4.4	ಅದ್ಂಗ್ ಅಂವೊ: ಮನುಷ್ಯ ಒಟ್ಟಿಯಿಂಜ ಮಾತ್ರ ಅಲ್ಲ, ದೇವಡ ಬಾಯಿಂಜ ಬಪ್ಪ ಓರೋರ್ ತಕ್ಕಿಂಜಲು ಬದ್‌ಕ್‌ವಾಂದ್ ದೇವಡ ವಾಕ್ಯತ್‍ಲ್ ಒಳ್‍ದಿತುಂಡ್‍ೕಂದ್ ಎಣ್ಣ್‌ಚಿ.
MAT.4.5	ಅಕ್ಕ ಸೈತಾನ ಯೇಸುನ ಪವಿತ್ರವಾನ ಯೆರೂಸಲೇಮ್ ಪಟ್ಟಣಕ್ ಕಾಕಿಯಂಡ್ ಪೋಯಿತ್ 
MAT.4.6	ನೀನ್ ದೇವಡ ಮೋಂವೊನಾಚೇಂಗಿ ಇಲ್ಲಿಂಜ ಅಡಿಕ್ ಪಾರ್, ಎನ್ನಂಗೆಣ್ಣ್‌ಚೇಂಗಿ:
MAT.4.6	ನಿನ್ನ ಕ‌ಪಾಡಂಡೂಂದ್ ನೀಕಾಯಿತ್ ದೇವದೂತಂಗಕ್ ದೇವ ಆಜ್ಞೆ ತಪ್ಪಾಂದೂ,
MAT.4.6	ನೀಡ ಕಾಲ್‍ರ ಬೆರ ಕಲ್ಲ್‌ಲ್ ಮುಟ್ಟತನೆಕೆ,
MAT.4.6	ಅಯಿಂಗ ನಿನ್ನ ಕೈಯಿಲ್ ಪೋರ್ಪಾಂದ್ ಒಳ್‌ದಿತುಂಡಲ್ಲಾಂದ್ ಎಣ್ಣ್‌ಚಿ.
MAT.4.7	ಅದ್ಂಗ್ ಯೇಸು: ನೀಡ ಒಡೆಯನಾನ ದೇವನ ಪರೀಕ್ಷೆಮಾಡತೇಂದ್ ಸಹ ಒಳ್‌ದಿತುಂಡಲ್ಲಾಂದ್ ಜವಾಬ್ ಕೊಡ್‍ತತ್.
MAT.4.8	ಪಿಂಞ ಸೈತಾನ ಯೇಸುನ ಒರ್ ಬಲ್ಯ ಕುಂದ್‌ರ ಕೊಡಿಕ್ ಕಾಕಿಯಂಡ್ ಪೋಯಿತ್, ಬೂಲೋಕತ್‌ರ ಎಲ್ಲಾ ರಾಜ್ಯತ್‍ನ ಪಿಂಞ ಅದ್ಂಡ ಮಹಿಮೆನ ಕಾ‌ಟಿಕೊಡ್‌ತಿತ್: 
MAT.4.9	ನೀನ್ ಬಗ್ಗಿತ್ ನನ್ನ ಆರಾದನೆ ಮಾಡ್‍ಚೇಂಗಿ ಇದ್‍ನೆಲ್ಲ ನಾನ್ ನೀಕ್ ತಪ್ಪೀಂದ್ ಎಣ್ಣ್‌ಚಿ.
MAT.4.10	ಅದ್ಂಗ್ ಯೇಸು: ನಾಡ ಬಯ್ಯಕ್ ಪೋ ಸೈತಾನೇ, ನೀಡ ಒಡೆಯನಾನ ದೇವನ ಮಾತ್ರ ಸೇವೆ ಮಾಡಿತ್, ಅಂವೊ ಒಬ್ಬಂಗೇ ಆರಾದನೆ ಮಾಡಂಡೂಂದ್ ದೇವಡ ವಾಕ್ಯತ್‍ಲ್ ಒಳ್‍ದಿತುಂಡ್‍ೕಂದ್ ಎಣ್ಣ್‌ಚಿ.
MAT.4.11	ಅಕ್ಕ ಸೈತಾನ ಯೇಸುನ ಬುಟ್ಟಿತ್ ಪೋಚಿ; ದೇವ ದೂತಂಗ ಬಂತ್ ಅಂವೊಂಗ್ ಸೇವೆ ಮಾಡ್‍ಚಿ.
