MRK.1.1	Hatseto mawotich oochu Jesus Christ, Tikeaootli ma chue; 
MRK.1.34	Kahchu atghazi tatihi akooyilalon ayeeah natlone yehtanintyelon, kooyaghatai metselihi natlon oonteslalon; kahchu atu ketselihoo wahti iyao-ohti, achi atayatilon ayiwooh ayehti.
MRK.1.35	Kahchu hatlindo, setsehto tsitike satalon, hadesha, kahchu koondeshalon aghasuchalechi, kahchu iehti yachutatyeheh. 
MRK.1.36	Kahchu Simon yehkyatehchi kikyehtestyetllon. 
MRK.1.37	Kikihtitsi, toowela ooli kiyehtilon, Atghe tane ninkhaghanatgha.
MRK.1.38	Towehchu yehti, Tane natehtsi otsidooshai kooche oohoostihi oochu, kootatooshigha lasasta aoontye. 
MRK.1.39	Kahchu tane tsiwoghintalon taneghaotatyech kwa kwe Galilee, kahchu atsinde metseli ghayatehalon.
MRK.1.40	Kahchu machitatestyel tane tsusachi yaghoone yatsi nioonunisit, kahchu machi nachustachaklih, kahchu toowela ooli yehtilon Kooh koodinti ate oochu asaghoonlehassi.
MRK.1.41	Kahchu Jesus, atyetastihtoo madzye tatilon nati gha tiesunni ihe, yetsi tahtatitichlon, kahchu yakatehtich lon, kahchu toowela ooli yehtilon, Kooh koosti; kwakoola oochu anatyeh. 
MRK.1.42	Tsiwohzon otatyech otye, susuchi yetselilon, kahchu oochu oohtyelon.
MRK.1.43	Kahchu yatatilon tsiwohzon itintiah, kahchu oochu tyehalon; 
MRK.1.44	Kahchu toowela ooli yehtilon, Atu kahchu ooli ataoonti niwotine: kahchu achutiya, nazi yueh taneghaotatyech metihi, kahchu khaniah naoochu oohtyi ihe yaghi Moses za kyehchi, ata kiyutihi. 
MRK.1.45	Kahchu hadesha, oohtye awonetye khootawootyelon, kahchu tike okehe khootawotyelon, kwa hlilon Jesus atu tanetghakweya tyetachatlihi kwa iyu meheaoontye, ahwole kemwehchi tike alilon, kahchu kiyinkhatestyetllon ewonetyetsi otsi.
MRK.2.1	Kahchu kwiyalon Capernaum tahke dzine oolitatatich wazilate; kahchu kooachatilon ayiti nito kwa oota ko-ochati ihe mewoyu. 
MRK.2.2	Kwete natlone tyechi ghlaghatilon, kwa hlilon taghadesmanlon atulitah ookuzze ooli ghintlon kye, kwa hlilon tusla aghoo ooghata taghadesman ghintlon kye; kahchu sa yatatilon. 
MRK.2.3	Kahchu kiyinkhatestyetl yatilonooh yatitihi ihe, tyentane kooyahtyel. 
MRK.2.4	Kahchu atu ugha otsighatatyel iyua aoontye ootaneghutl kye, nighatilalon anetiyi ootaneghutl kye alinti; kootoo ghaghatagheoo yatilone, kitaghintsut takeustyi tyela satyechti. 
MRK.2.5	Kootoo Jesus wai aha oochati, toowela ooli yehtilon ayi yatilone, Sechue, nametselihi naoonchatuleli.
MRK.2.6	Ahwole tahkine ayiti tyechii adesklesne, kahchu koodzye otsi indighateshalon, 
MRK.2.7	Yeoogha ti teze atu oochu ateotye? mea metsehhi ka oontoolelassi kootahtye Nagha Tgha zon?
MRK.2.8	Kwete Jesus ataotio yaghatei intidesakehe, toowela ooli yehtilon, Yehoo oohtye naghadzye ihe intidaa aoontye? 
MRK.2.9	Tyeyi meotena achatooti kehe yatilone, Nametselihi naoonchatoolel; koolehe, Tsitike sinta, nustyi neodiah? 
MRK.2.10	Atawahtihi iyu aoontye hligi teze Machue natsutti ayehi chode tike kakametselihi naghaoontooleli, (toowela ooli yehtilon yatilone,) 
MRK.2.11	Toowela nesiih, Niiya, nustye nioodiah, nakwa otsidiya. 
MRK.2.12	Kwa kwete niiya, ustyi nioodioo, kahchu hadesha aitye yai; kwa hlilon atghe yaooli, kiyaooli Nagha Tgha, toowela ghatyeh, Atu haoontyedi oohwetyi tahooli.
MRK.2.13	Kahchu tu chok meootyesha; atghe aghanetye machichatyesha, kwa yaotatich. 
MRK.2.14	Intyizon ghayalu, yailon Levi Alphaeus ma chue sata sooniya mechetilichti, toowela ooli yehtilon, Sakyetiya. Kahchu niiya yekehtesha.
MRK.2.15	Hesai wazeluh Jesus yakwa kwesata atsitsoo, natlone tanechowhoine chu metseline chu Jesus yakahtehtsi yaotatichne chu: oohchu ghintlone, kooketestyetl chu. 
MRK.2.16	Kootoo hatseto adesklesne chu Phariseene chu kiyaichi inka aghatsitsoo tanechowhoine chu metseline chu, toowela ooli yehtilon yaotatichne, Yehoo yakaatsits aoontye yakah chu tuaton tane chowhoine chu metseline chu?
MRK.2.17	Kootoo Jesus ootitsahoo, toowela ooli yehti, Yaghine oochu oontyene atu kiyinkhasootati yutane, yatitihizon: atu yuhchideya tyechi kooyusine tyeswe yaghitane, ahwole ayi atu tyeswe yaghitane chodeh kyetsahanohoolehe koometselihi ooghatihuali.
MRK.2.18	Kahchu yaotatichne John chu Phariseene chu ooneaghatatihya toonkye: kahchu yuhchihatestyetl toowela ooli, yehoogha yaotatichne John chu Phariseene chu ooneatatehya aoontye, ahwole nuni maghotintichne atu ooneatatehya?
MRK.2.19	Kahchu Jesus toowela ooli yehti, Maskyege la kwa nichiyehi kooyehkyatechi ooneatatulela la? kooyehkyatechton atu ooneatatehya iyu aoontye. 
MRK.2.20	Ahwole kwa kwete khoonahwozetasi, kootoo mka tuchainklitne kwiya kwa oochayihate, kahchu ayi dzine ooneatatuyelassi.
MRK.2.21	Atu chu ooli koonde ale ooli tsatse ihe kyechatoohkatassi, yaikoole koonde ihe kechaghinghati kwa hlilon hleooyu awotiassi. 
MRK.2.22	Kahchu atuline tata ahklitassi chiche tu koonde satsoone tontyeto otsi: atu chu chiche tu ooli tsatse tataoohklit ootookyezasi, kahchu natesklitchiche tu, kahchu mataootsayih oontookyezasi: ahwole chiche tu koonde ooli ta koonde chuhklitassi.
MRK.2.23	Kahchu otles tghah niya achuniyehti Menejitti Dzine; kahchu yaotichne makye ghatehlu atghe inchaghakinesla otles. 
MRK.2.24	Kahchu Phariseene toowehchu vehti, Nye, yehoo koohghaghati aoontye Menejitti Dzine atu tu dzine kooh ghatsati iyu aoontye?
MRK.2.25	Kahchu toowela ooli yehti, Atu makyeh ootahtyech tah oolila David aoontli kootoo intaklinto kahchu tapatoo, atane chu ayi vehkyatiche chu? 
MRK.2.26	Kwiye sikooh Nagha Tgha kwa, intyizon Abiathar taneghaotatyechi metihi chok acha, kahchu kiyatsetslon otles oochu atuline yetsitslon gha yai zon taneghaotatyech, kahchu yayigholon ayi yehkyatiche.
MRK.2.27	Kahchu toowela ooli yehti, Menejitti Dzine achilalon tane gha, kahchu atu chu tane Menejitti Dzine gha: 
MRK.2.28	Ayigho teze Chue ghakaoodzut Menejitti Dzine.
MRK.3.1	Kahchu tyetachatlihi kwa kwiya: ayiti teze natyelon mila taneskyelon. 
MRK.3.2	Kahchu kiyunailon, ooka ooli asityeh kha Menejitti Dzine nai; kitalih iyu aoontye. 
MRK.3.3	Kahchu toowela ooli yehti ayi teze mila taneskye, Hatelon atichi nazutooh.
MRK.3.4	Tooweh chu yehti, Oochu la oochu keoochuahch Menejitti Dzine, ketseliooh keoochuahch? tane ghaghatai gha kasoochatooti gha koole? Ahwole atu ooghati. 
MRK.3.5	Kahchu anetye klokanatghalon madzyehatsutooh, kyeoocheklah ihe tane dzye natsutti, tooweh chu yehti teze, Tahtatinti. Ooh kahchu tahtatintieh: oohchu mila natsaghinhtalon achune kehchi. 
MRK.3.6	Kahchu Phariseene achughatestyelon, kwete hla nighohanintalon yai chu Herodianuk, tihakehe soo ookitoohtelu.
MRK.3.7	Ahwole Jesus achutyezha yaghotine chu tu chok tsi: Kahchu tane natlone Galilee otsi yu Judaea otsi yu yekehtestyetl. 
MRK.3.8	Kahchu Jerusalem otsi, kahchu Idumaea otsi, kahchu o-one otehchi otsi Jordan, kahchu aghatane ahthaze Tyre yu Sidon yu, ghintlon ke, ooghatitsuk chi ayi oochu keoahchi, kiyinkhadesha. 
MRK.3.9	Kahchu yaotatichne tatilon, ela ckok natsutli ootagha iiti wothoogha kooghohtyi tane natlon ke kha ati makechichiticha. 
MRK.3.10	Atane natlone yaghihti ihe; kwa hlilon yinkghanotyesuts yakatutihikha, anetye ayi tatihi akooyahine. 
MRK.3.11	Tane yaghatai mindicheli kahchu kiyainchi ate, kyechinachustaklih, kahchu ghatyezul toowe la ooli kiyehti ihe. Nuni Nagha Tgha Chue nelaoontye. 
MRK.3.12	Kooh oochu atu soohchiwoti atu atachutihikha.
MRK.3.13	Kahchu khis ehkyeghiyalon, kahchu ayizon ayuti tyechi yehti: yachidesha. 
MRK.3.14	Kahchu keneti onketi matgha kliniyanila, yekyeootichigha, kahchu achutehalon udzih oohootigha. 
MRK.3.15	Kahchu ayulhi gha natsutti, kahchu atsinde metselihi hayatuhi gha: 
MRK.3.16	Kahchu Simon yindizi yakechioosun Peterlon; 
MRK.3.17	Kahchu James Zebedee machue, kahchu John, James mekye; kahchu nindizi yakechioosun Boanerges, ayi nahthunni uskyege chatyeh: 
MRK.3.18	Kahchu Andrew, kahchu Philip, kahchu Bartholomew, kahchu Matthew, kahchu Thomas, kahchu James Alphaeus machue, kahchu Thaddaeus, kahchu Simon ayi Canaanite, 
MRK.3.19	Kahchu Judas Iscariot, mazi atahootalon: kahchu nito kwa kwighaghintyetl.
MRK.3.20	Kahchu natlone natsughanestlalon, ehtye kwa hlilon atu otles atsitslon natlonke. 
MRK.3.21	Kootoo meootinoo ootitsukoo, achughatestyetl kiyuhchutigha: aghatune kooghatyeh, Tinditaodesooissi.
MRK.3.22	Kahchu adesklesne yuhchighatestyetl Jerusalem otsi ghati, Ayehi Beelzebub, kahchu yaghatai metselihi iiti otsi hayateha. 
MRK.3.23	Kahchu koohchu yinkhawoti, kahchu too we yehti, tyecha otsi aghaghatai metselihi hatsatoohtyel oontye ayi aghaghatai metselihi? 
MRK.3.24	Kahchu hlahti tane natehti intsake yawoinklit ate, ayiti tike ii oowotoehassi. 
MRK.3.25	Kahchu ayi nito kwa yaooghinkliti ate, ayi nito kwa oowotoehassi. 
MRK.3.26	Kahchu aghaghatai metselihi ataniiya ate, kahchu tezi yanile ate, atu oowotoehassi. 
MRK.3.27	Atuline kweyali iyua aoontye teze natsutti kwa, yenatunne yatatulelu, hatse tahyaghesklu teze natsutti; atezon ya kwa yaghonile iyu aoontye. 
MRK.3.28	Kwa hli anaghaisilon, Atghe metselihi kooya oochatoolelassi tane uskyege, kahchu soocha oochatihi: 
MRK.3.29	Ahwole ayi ketselioo atii Menejitti Oochu atu ihlaotateoo ayehi kha, ahwole seghaai ayehi nioonizutti oonchatalihi: 
MRK.3.30	Ayighoo ayehti, Ayehi aghaghatai metselihi.
MRK.3.31	Kahchu mekye chu ma chu iiti otsighatestyetl, kahchu tsehtsi nazutooh, kilati, kiyinkhaooti. 
MRK.3.32	Kahchu tane natlone yaka tghanatihtsi, tooweh chu kiyehti, Nea, noo chu nehtghizinne chu tsehtsi naghatehya ninkhaghanata. 
MRK.3.33	Kahchu ateyatetla, toowehchu yehti, Mea anne eli, setghezinne koole? 
MRK.3.34	Kahchu khlonkanatgha ayi yaka khlontyetsi, kahchu toowela yehti, Ahi anne chu sehtghezoon chu! 
MRK.3.35	Atunne zon kooh ghawoteassi ayi Nagha Tgha indi, ayi akye chu, ustye chu, unne chu.
MRK.4.1	Kahchu tyigha tane ootatech tu chok tghamweh: kahchu natlone yinkhadesha, kahchu tachin ela ehkyiya, kahchu tu chok tih ali; kahchu atghe tane natlone tike wohzon. 
MRK.4.2	Kahchu yachioteh ooli natlon yughotyeh, kahchu toowe ehti otsiootihi, 
MRK.4.3	Oochu atahtsuk; Oochu hadesha otles alihi tane anihyihi niyilihi gha: 
MRK.4.4	Kahchu intyizon achunihyehti, tahkine yainkhyi tinkuzze, kahchu chua etye yaghatehtyetllon. 
MRK.4.5	Kahchu tahke nooghinklit tsyetgha, atu oonchadi tike ooliite; kahchu kwete ghanaghiyu, atu tike tatghoe: 
MRK.4.6	Ahwole chelon sa niniya, maziche ninihklitlon; aha oona maghaye toontooeyi, ayi ihe taihtsutii. 
MRK.4.7	Kahchu tahke nooghinklit ghoos chine chok tgha, kahchu ghoos chine chok ghanaghiyu, kahchu klighatanityetllon, kahchu atuli machiche oolilon. 
MRK.4.8	Kahchu achu nooghinklitlon tike oochu ti, kahchu machiche ooghilyelon ghanaghiyu yu kahchu tainyezho; kahchu yahlonihyu tahke taoketyi tahke chu edzetaiti ketyi, tahke chu keoneti ketyi.
MRK.4.9	Koohchu yehti, Yaghi matsaghe ooli, inkai ootootsuke yehti.
MRK.4.10	Kootoo chlatyo ayi yehkatyelichi yaghi chu keneti onketi matgha tawotya yehti kawotzutne gha. 
MRK.4.11	Kalichu toewela ooli yehti, Naghunni aghaoochuneoh aoontye atawohtihiglia tyewotye hai koosti Nagha Tgha kyeyi: ahwole ayine tsehtsi natihne, atghe ooli keowaahch yehe achatih: 
MRK.4.12	Wai oochui, kahchu atu hlyenahotihi gha; kahchu ooghatitsukooh ooghatootsukassi lon, kahchu atu klaghatootsukassilon; koohchu oolita ghooghanetyela, koometselihi kooya oone oochatulel akhe.
MRK.4.13	Kahchu toowela ooli yehti, Tiyeghakehe atawahtiha ooli kehe yaghaghahtai kehe? koohchu yeghateh atawahtiha atghe otech? 
MRK.4.14	Oonehyene oonehyoh sa. 
MRK.4.15	Kahchu aghatane tinkuzze tatihne sa chunihyehti; ahwole kootoo ooghatitsukassi kooh ghaghatai metseli kwoto otsidesha, kahchu yazake yuhniyatiooh yadzye ta otsi. 
MRK.4.16	Kahchu aghatane chunihye ine tsye tgha; kootoo sa ooghatitsuk, kwete neooatiooh soochanetye; 
MRK.4.17	Kahchu atu ghai ighutaklilon aghatane hahte, kwa tiootsi zon ghaghatalon, ootlwe kootoo sookhaootaya kootoo hlachatatane niwoya sa tachi kwete chahte intighatesah. 
MRK.4.18	Kahchu aghatane ayi yachunihyene ghoos chok chine tgha; ayi sa ooghatitsuh, 
MRK.4.19	Kooh tidi tike indi, kahchu mihe atsunnetahe yu mihe tatintlon yu, kahchu machachintye achu ooli kwenachaghila otcho ooli sa, kahchu atu machiche ooli. 
MRK.4.20	Kahchu ayi mehoochunihyehe tike oochute; ayi ootitsukne sa, kahchu niooatioone, kahchu machiche ooli, tahke taoketyi enetyi, tahke chu edzetaitiketyi, tahke chu keonetiketyi.
MRK.4.21	Kahchu toowela yehti, Nachila takooche nichualli ghotwetghulle yue take ustyi koole? koohchu atu nichiooite takoochechine? 
MRK.4.22	Agha atuli nachunehi atu mewotuti; kahchu atuli tanetcha maghuchata iyu aoontye, ahwole atachuteassi. 
MRK.4.23	Koole matsaghe oolyetane inkai ootootsukassi.
MRK.4.24	Kahchu toowela ooli yehti, Tyeke ayi ootahtsukki: ayi ihe tikeghaklyeli, ayieh nagha tsi tiketsalelassi: kahchu naghai ootaghahtsukki, ootehchi nahachuallassi. 
MRK.4.25	Yaghi ayehi, machuallassi: kahchu yaghi atu ayehi, mehwayachutallassi koole ayi ayehi.
MRK.4.26	Kahchu toowela ooli yehti, Koohia ootye oontye Nagha Tgha kyeyi, hletye teze oochunehyehti oodihyitl keoontye; 
MRK.4.27	Kahchu satyi, kahchu niiya hatleke chu dzine chu, kahchu achunehyehti ghanaghihu, atu ataoti noontye sikooh. 
MRK.4.28	Ghoo yaghi tike atai hahte otsi ghanaghihu; hatse kloke eli, kahchu hachaghinaghiyu, kahchu otlweh ootles. 
MRK.4.29	Kahchu yaghi chiche ghanaghihuta, kwete atataz, khoo chotazze dzine eli.
MRK.4.30	Towehchu yehtilon, Tyechi otsi gha Nagha Tgha kehchi niwowotal aoontye manatake? koole hletyi indi nighaootal aoontye? 
MRK.4.31	Hleoontye oochuniliyehti ehlatye yutanikluchi machiche, kwa nichalesta oonahyehe tike, eyi zon natsutli anetye oochu ihyehe tike tih: 
MRK.4.32	Kwa aochelesta, oochu nichulesta ayi zon otehchi yaincha anetye nichulihchassi, kahchu matatse natlon; kahchu ayiti chua yayue sacha iyue tehtsi.
MRK.4.33	Kahchu ayi etye akyehchi oochatihi ihe ehyatatilon, ghanawesittih oohasoohtsoo gha. 
MRK.4.34	Ahwole atu ya-i-ti-tyes ate atu yachiwotyehlon: kahchu sahta aghatinta, yaotatichne atghe yatatilon.
MRK.4.35	Kahchu ayi dzinee, kahkachi aocha, toowehchu yehti, Onka nataghokye taityechi. 
MRK.4.36	Kahchu yite kitehalon tane natlone, nighatila aoontye sikooh. Kahchu kooyeh testyetlon tachin ela ihe. 
MRK.4.37	Kahchu intsi chok niya, kahchu tuyune nachalon tachin ela kooyeghe tiketlalon, kwa hlilon tadesmanooh. 
MRK.4.38	Ahwole atai haiseuhi, satyi tsiatakyeh: kahchu tsikiyaniha, toowehchu kiyehti Metihi, atu aghaititawoala tghataozitassi?
MRK.4.39	Kahchu niiya, kahchu intsi tsiwoti, toowehchu yehti tu chok, Tyeke tahtsi. Kahchu intsi atyehzut, kahchu ohtye tyesghutl.
MRK.4.40	Kahchu toowela ooli yehti, Yehoogha onenatyetl aoontye? yehoogha atu a kootahti aoontye? 
MRK.4.41	Kahchu ohtye onighanintyetl, kahchu toowela klaghatati, Ye teze alontye koole intsi ateate chu tu chok yuzehtso?
MRK.5.1	Kahchu nighatiooh taityechi chisinchi tu chok, kootike tsi Gadarene matike. 
MRK.5.2	Kwa kootoo tasaya ela ehkye otsi, kwete yatitityesha ehlatye teze natine kwa otsi ayehi yaghatai atu mayis natsutooh, 
MRK.5.3	Makwa ooli natine tgha; kahchu atuline yatahnatsut iyu aoontye ihe ayii ihe atu tah taghatsakluh iyu aoontye, atu satsoone klule aghoo ihe taghachakluhassi: 
MRK.5.4	Tewotye oontlon tahtsughesklu mihe klule ihe kahchu satsoone klule ihe, kahchu satsoone klule yatayaghechil, kahchu makye chine klule oochu yatayaghechil: kahchu atuline oochu ayilih iyuntyeh. 
MRK.5.5	Kahchu inkaa hatleketahwoyu dzinetahwoyu, ali khis tah, natine tgha woyu, otyesta, kahchu atakhai tatazo tsye ihe.
MRK.5.6	Ahwole tontye tsi ghotsi Jesus ya-i, otsitehtla yatsi nachustaklyeh, 
MRK.5.7	Kahchu ohtye otyesta, kahchu toowela ooli yehti, Tyeka kehe na-kye-o-os-tyi-cha, Jesus, nuni otehchi ooli yatehchi Nagha Tgha chue neli? Natsinioonunisit Nagha Tgha tsi, atu nidisawositi. 
MRK.5.8	Atai toowela yehtie, Sachighatiya teze zi tsi, nuni atu neyis natsutti aghaghintai.
MRK.5.9	Kahchu tawotya yehti nindizi tyeoolya yehtilon? Kahchu toowela yehti, Legion, oohzi: nitlon ihe. 
MRK.5.10	Kahchu yatsinioonunisit atu achu tsutoohigha ayiti tike otsi.
MRK.5.11	Kahchu ieti alii hwaza khis tah koohkoos natlon eghihta. 
MRK.5.12	Kahchu atghe aghaghatai metselihi yatsinioonunisit, toowehchu yehti, ghotsiaghatiha koohkoos natyehti, koohkoos zi toontyelikha. 
MRK.5.13	Kahchu kwete Jesus ghatyeh yasehla. Kahchu naghaghatai atu mayis natsutti ghaghatestyetl, kahchu koohkoos zi tintyetl: kahchu koohkoos ohtye kyehodihsut ichulti tu chok tghamweh, (oolitah onkye keoneti keoneti;) kootoo chu etye tukooghiwolon.
MRK.5.14	Yaghaine koohkoos zaaliine taghatestyetl kooghohwati nito kwa atyih kahchu ayiti tike. Kahchu otsighatestyetl ayi ye keochaahch aoontye. 
MRK.5.15	Kahchu Jesus kiyunintyetl, kahchu kiya-i ayi tane atsinde metselihi ayehi, kahchu kootoo ayehii ligiona, sata, kahchu natunne tasata, kahchu tyeswe indi ahi: kooh onighanityetl. 
MRK.5.16	Kahchu yaghine oohwa-i ine kitati oontye sikooh ayi tane atsinde metselihi ayehi, kahchu koohkoos ihe. 
MRK.5.17	Kahchu tyikichi niooghaghananintyetl achutooyigha kootike otsi.
MRK.5.18	Kootoo tachin ela ehkyiya, yaghi ayehii tane atsinde metselihi yachinioonunisit yehtootyeli gha. 
MRK.5.19	Atu ghate yasehla Jesus, ahwole toowela ooli yehti, Ootinta niootinoo khadiya, oochu kootinti ooli Ghakaoozutti nakeoahchi, kahchu noohchuya. 
MRK.5.20	Kahchu achutyesha, kahchu khootaootyeh Decapolis yechatgheze Jesus oochu nanakeochaahch: koohchu aitye tane khaooghali.
MRK.5.21	Kootoo Jesus natyeski tachin ela ihe taityechi, natlone tane yachitestyetl: kahchu hwa tuchok alii. 
MRK.5.22	Nea koohzon ehlaiti yinkhatyesha kakaoozutti tyetachatlihi kwa, Jairus ooyi; kootoo ya-ichi, nakye kuchi naitsut, 
MRK.5.23	Kahchu ohtye koonoo yachinioonunisit, toowehchu yehti, Setue tyele satyi koola tehtsutooh: nachinoonunisit, samakataootihi, naghaootai gha; koohzon hanalaite ootesi. 
MRK.5.24	Kahchu Jesus yehkatich, kahchu natlone tane yakehtestyetl, kahchu kikyeoohsut.
MRK.5.25	Kahchu ehlaiti tsege, yaghi keneti onketi matgha yaskehe matulle natatyehizon, 
MRK.5.26	Kahchu natlone ooli yakeoohchi natlon yutane, kahchu yaghatestla ayi oontyei, atuli akehe naghiteyo oontye, atatihe tati, 
MRK.5.27	Kootoo Jesus otsi ootitsukoo nooja otsi keistla otsi yatsityesha ootaneghutl ihe, kahchu yakestue katehtich. 
MRK.5.28	Atune toowela ehtie, Manatunne zon aghoo katyestich ate, oochu awostyeassi. 
MRK.5.29	Kahchu kwete otsi tul natatyehti sakoon; kahchu atyetastyiht mazi tsi nachagihta avi tatihi tsi.
MRK.5.30	Kahchu Jesus kwete ataotihoo mehnatsutsutti mazi tsi hatsatooh, natunesha tanetiche, kahchu ehti, Mea ali senatunne katehtichlon?
MRK.5.31	Kahchu yaotatichne toowela yehti, Natlone tane ghii tanighatlu, kooh tinti, Mea sekahtihtich?
MRK.5.32	Kahchu klokanatgha yui gha ayi ooli keoachine. 
MRK.5.33	Kahchu tsege ooniya kahchu ghati ihe, ataootioo ooli maachahi matsun tsihi, yuhchi yachi yuenenitooh, kahchu yatati aitye hlonchati. 
MRK.5.34	Kahchu toowela ooli yehti, Ghutue aha koodinti nanaghinta-iih; taichi tyege inditiah, kechutintih natatihe ihe.
MRK.5.35	Intyizon kwaka ootatyichoo, yachidesha ma kwa otsi yaghi yakaoozutti tyetachatlihi kwa tahkine atine, Netue tehtsut: Yehoo gha mehchintahcha otehchi Metihi?
MRK.5.36	Kwete Jesus sa ootitsukoo, toowela yehti ayi kakaoozutti tane tyetachatlihi kwa, Atu ooniooya, aha koodinti zon.
MRK.5.37	Kahchu atuline hateh gha sehla oolino yekehtooyi, Peter zon, kahchu James, John chu mekye James. 
MRK.5.38	Kahchu khooniyalon kakaoozutti kwa, kahchu wa-i oontlon tsi oochataahoo, yaghi chu atsukki kahchu ohtye atsukki. 
MRK.5.39	Kootoo kwiya toowela ooli yehti, Yehoo gha oontlonchi ootahah aoontye, kahchu ahtsu-ko-oyu? ataze atu tehtsut, ahwole satyih.
MRK.5.40	Hatyeh oontlonchi kiyuhaghatakluch. Ahwole ehtyezon aitye hayateha, otsighadesha yatgha chu you chu ata, kahchu ayi yehkyatechii, koohchu kwinaghacha ata tyelasatyinti. 
MRK.5.41	Yila inchutlon ata, kahchu toowela yehtilon, Talitha cumi; ayi chati, Ata, niiya, nesii. 
