JHN.1.1	Ayns y toshiaght va’n Goo, as va’n Goo marish Jee, as va’n Goo Jee. 
JHN.1.21	As dênee ad jeh, Quoi eisht? Nee oo Elias? As dooyrt eshyn, Cha nee. Nee oo yn phadeyr shen? As dansoor eh, Cha nee. 
JHN.1.22	Eisht dooyrt ad rish, Quoi oo? dy vod mayd ansoor y choyrt dauesyn t’er choyrt shin: Cre t’ou gra my-dty-chione hene? 
JHN.1.23	Dooyrt eh, Mish coraa fer fockleymagh ayns yn aasagh, Kiartee-jee raad y Chiarn, myr dooyrt y phadeyr Esaias. 
JHN.1.24	As v’adsyn v’er nyn goyrt, jeh ny Phariseeyn. 
JHN.1.25	As dênee ad jeh, as dooyrt ad rish, Cre’n-fa t’ou bashtey eisht mannagh nee oo yn Creest, ny Elias, ny’n phadeyr shen? 
JHN.1.26	Dreggyr Ean ad, gra, Ta mish bashtey lesh ushtey: agh ta fer shassoo nyn mast’ eu, nagh vel enney eu er; 
JHN.1.27	Eshyn eh ta cheet my yeï, agh t’er ny hoiaghey roym, kiangley ny braagyn echey cha vel mish feeu dy eaysley. 
JHN.1.28	Va ny reddyn shoh jeant ayns Bethabara er cheu elley jeh Jordan, raad va Ean bashtey.
JHN.1.29	Yn nah laa honnick Ean Yeesey cheet ny-whail, as dooyrt eh, Cur-my-ner Eayn Yee, ta goaill ersooyl peccah yn theihll. 
JHN.1.30	Shoh eshyn mychione dooyrt mee, My yeï ta dooinney cheet, t’er ny hoiaghey roym; son v’eh roym. 
JHN.1.31	As cha row enney aym’s er: agh dy beagh eh er ny hoilshaghey da Israel, shen-y-fa haink mish bashtey lesh ushtey. 
JHN.1.32	As dymmyrk Ean feanish, gra, Honnick mee yn Spyrryd cheet neose veih niau myr calmane, as tannaghtyn er. 
JHN.1.33	As cha dug mish enney er: agh eshyn ren mish y choyrt dy vashtey lesh ushtey, dooyrt eh shen rhym, Ersyn hee oo yn Spyrryd cheet neose as tannaghtyn er, shen eh ta bashtey lesh y Spyrryd Noo. 
JHN.1.34	As honnick mee eh, as dymmyrk mee feanish, dy nee shoh Mac Yee.
JHN.1.35	Yn nah laa reesht va Ean ny hassoo, as jees jeh e ynseydee: 
JHN.1.36	As yeeagh eh er Yeesey, myr v’eh shooyl, as dooyrt eh, Cur-my-ner Eayn Yee. 
JHN.1.37	As cheayll yn daa ynseydagh eh loayrt, as deiyr ad er Yeesey. 
JHN.1.38	Eisht hyndaa Yeesey, as honnick eh ad geiyrt er, as dooyrt eh roo, Cre ta shiu dy hirrey? Dooyrt adsyn rish, Rabbi (ta shen dy ghra, ’sy ghlare ainyn, Vainshter) cre raad t’ou baghey? 
JHN.1.39	Dooyrt eh roo, Tar-jee as hee shiu. Haink ad as honnick ad c’raad v’eh baghey, as duirree ad mârish yn laa shen: son ve mysh y jeihoo oor. 
JHN.1.40	Fer jeh’n jees cheayll Ean loayrt, as deiyr er, va Andreays, braar Simon Peddyr. 
JHN.1.41	Hooar eshyn hoshiaght e vraar hene Simon, as dooyrt eh rish, Ta shin er gheddyn yn Messias, ta shen dy ghra, Yn Creest. 
JHN.1.42	As hug eh lesh eh gys Yeesey. As tra honnick Yeesey eh, dooyrt eh, Uss Simon mac Jona: bee oo enmyssit Cephas, ta shen dy ghra Peddyr.
JHN.1.43	Yn laa er-giyn she aigney Yeesey ve dy gholl magh gys Galilee, as hooar eh Philip, as dooyrt eh rish, Eiyr orrym. 
JHN.1.44	Nish va Philip veih Bethsaida, ard-valley Andreays as Peddyr. 
JHN.1.45	Veeit Philip rish Nathanael, as dooyrt eh rish, Ta shin er gheddyn eshyn, jeh ren Moses ayns y leigh, as ny phadeyryn scrieu, Yeesey dy Nazareth, mac Yoseph. 
JHN.1.46	As dooyrt Nathanael rish, Vod nhee erbee mie cheet magh ass Nazareth? Dooyrt Philip rish, Tar royd as hee oo. 
JHN.1.47	Honnick Yeesey Nathanael cheet ny whail, as dooyrt eh jehsyn, Cur-my-ner Israelite firrinagh, ayn nagh vel molteyrys erbee. 
JHN.1.48	Dooyrt Nathanael rish, Cre’n enney t’ayd orrym’s? Dreggyr Yeesey as dooyrt eh rish, Roish my deïe Philip ort, tra v’ou fo yn villey-figgagh, honnick mee oo. 
JHN.1.49	Dreggyr Nathanael as dooyrt eh rish, Rabbi, oo mac Yee, oo ree Israel. 
JHN.1.50	Dreggyr Yeesey as dooyrt eh rish, Er-y-fa dy dooyrt mee rhyt, dy vaik mee oo fo’n villey-figgagh, vel oo credjal? hee oo reddyn smoo na ad shoh. 
JHN.1.51	As dooyrt eh rish, Dy firrinagh firrinagh ta mee gra riu, Ny lurg shoh hee shiu niau foshlit, as ainleyn Yee goll seose as cheet neose er Mac y dooinney.
JHN.2.1	As er y trass laa va poosey ayns Cana dy Ghalilee; as va moir Yeesey ayns shen. 
JHN.2.2	As va chammah Yeesey cuirt, as e ynseydee, gys y vannish. 
JHN.2.3	As tra v’ad laccal feeyn, dooyrt moir Yeesey rish, Cha vel feeyn oc. 
JHN.2.4	Dooyrt Yeesey r’ee, Ven, cre t’ain dy yannoo rish shen? cha vel my oor foast er jeet. 
JHN.2.5	Dooyrt e voir rish y vooinjer, Jean-jee shiuish cre-erbee jir eh riu. 
JHN.2.6	As va soit ayns shen shey siyn cloaie ry-hoi ushtey, lurg cliaghtey ny Hewnyn son glenney, cummal ghaa ny three dy firkinyn y pheesh. 
JHN.2.7	Dooyrt Yeesey roo, Lhieen-jee ny siyn lesh ushtey. As lhieen ad ad seose gys yn oirr. 
JHN.2.8	As dooyrt eh roo, Tayrn-jee nish, as cur-jee lhieu gys mainshter ny cuirraghyn. As hug ad lhieu eh. 
JHN.2.9	Tra va mainshter ny cuirraghyn er vlashtyn er yn ushtey va chyndaït gys feeyn, as nagh row fys echey cre voish ve (agh va fys ec ny sharvaantyn va tayrn yn ushtey) deïe mainshter ny cuirraghyn er y dooinney-phoosee, 
JHN.2.10	As dooyrt eh rish, Ta dy chooilley ghooinney ec y toshiaght soiaghey magh feeyn mie; as tra ta deiney er n’iu dy mie, eisht feeyn smessey: agh t’ou uss er vreayll y feeyn mie derrey nish. 
JHN.2.11	Yn toshiaght shoh dy virrilyn ren Yeesey ayns Cana dy Ghalilee, as hoilshee eh magh e ghloyr; as ren e ynseydee credjal ayn.
JHN.2.12	Ny lurg shen, hie eh-hene, as e voir, as e vraaraghyn, as e ynseydee sheese gys Capernaum; as cha nhimmey laa duirree ad ayns shen. 
JHN.2.13	As va Caisht ny Hewnyn er-gerrey, as hie Yeesey seose gys Jerusalem, 
JHN.2.14	As hooar eh ayns y chiamble feallagh va creck dew, as kirree, as calmaneyn, as y vooinjer va caghlaa argid nyn soie: 
JHN.2.15	As tra v’eh er n’yannoo kip dy choyrdyn keylley, deiyr eh ad ooilley ass y chiamble, as ny kirree, as ny dew; as spreih eh magh yn argid ocsyn va caghlaa, as hilg eh harrish ny buird; 
JHN.2.16	As dooyrt eh roosyn va creck calmaneyn, Ersooyl-jee lesh ny reddyn shoh, ny jean-jee thie my Ayrey ny hie margee. 
JHN.2.17	As chooinee e ynseydee dy row eh scruit, Ta graih jeean dty hie er ny churmow
JHN.2.18	Eisht dreggyr ny Hewnyn, as dooyrt ad rish, Cre’n cowrey t’ou dy yeeaghyn dooin, fakin dy vel oo jannoo ny reddyn shoh? 
JHN.2.19	Dreggyr Yeesey as dooyrt eh roo, Lhieg-jee yn chiamble shoh, as trog-yms eh reesht ayns three laa. 
JHN.2.20	Eisht dooyrt ny Hewnyn, Shey bleeaney as da-eed va’n chiamble shoh dy hroggal, as Jean
JHN.2.21	Agh mychione chiamble e chorp hene loayr eshyn. 
JHN.2.22	Shen-y-fa tra v’eh er n’irree veih ny merriu, chooinee ny ynseydee dy row eh er ghra shoh roo: as chred ad yn scriptyr, as y raa va Yeesey er loayrt.
JHN.2.23	Nish tra v’eh ec Jerusalem ec y chaisht, rish earish ny feailley, ren ymmodee credjal ayns yn ennym echey, tra honnick ad ny mirrilyn v’eh er n’yannoo. 
JHN.2.24	Agh cha hreisht Yeesey eh-hene orroo, er-yn-oyr dy row enney echey er dy chooilley ghooinney, 
JHN.2.25	As nagh row feme echey er unnane erbee dy ymmyrkey feanish jeh dooinney: son va fys echey cre va ayns dooinney.
JHN.3.1	Va dooinney jeh ny Phariseeyn enmyssit Nicodemus, ny ard-ghooinney mastey ny Hewnyn: 
JHN.3.2	Haink eh shoh gys Yeesey ayns yn oie, as dooyrt eh rish, Rabbi, ta fys ain dy nee fer-ynsee oo t’er jeet veih Jee: son cha vod dooinney erbee ny mirrilyn shen y yannoo t’ou uss dy yannoo, mannagh bee Jee mârish. 
JHN.3.3	Dreggyr Yeesey as dooyrt eh rish, Dy firrinagh firrinagh ta mee gra rhyt, Mannagh bee dooinney er ny ruggey reesht, cha vod eh reeriaght Yee y akin. 
JHN.3.4	Dooyrt Nicodemus rish, Kys oddys dooinney v’er ny ruggey tra t’eh shenn? vod eh goll stiagh yn nah cheayrt ayns breïn e vayrey, as cheet er y theihll? 
JHN.3.5	Dreggyr Yeesey, Dy firrinagh firrinagh ta mee gra rhyt, Mannagh bee dooinney er ny ruggey jeh ushtey as jeh’n spyrryd, cha vod eh goll stiagh ayns reeriaght Yee. 
JHN.3.6	Shen t’er ny ruggey jeh’n eill, te foalley; as shen t’er ny ruggey jeh’n Spyrryd, te spyrrydoil. 
JHN.3.7	Ny gow yindys dy dooyrt mee rhyt, Shegin diu v’er nyn ruggey reesht. 
JHN.3.8	Ta’n gheay sheidey raad saillee, as t’ou clashtyn y sheean eck, agh cha s’ayd cre voish t’ee cheet, ny cre’n raad t’ee goll: myr shen ta dy chooilley unnane t’er ny ruggey jeh’n Spyrryd. 
JHN.3.9	Dreggyr Nicodemus as dooyrt eh rish, Kys oddys ny reddyn shoh y ve? 
JHN.3.10	Dreggyr Yeesey as dooyrt eh rish, Vel uss dty er-ynsee ayns Israel, as nagh vel toiggal ayd jeh ny reddyn shoh? 
JHN.3.11	Dy firrinagh firrinagh ta mee gra rhyt, ta shin loayrt shen ta fys ain er, as gymmyrkey feanish jeh ny ta shin er vakin; as cha vel shiu soiaghey jeh’n eanish ain. 
JHN.3.12	My ta mish er loayrt riu jeh reddyn seihltagh, as nagh vel shiu dy my chredjal, kys nee shiu my chredjal my loayr-ym riu jeh reddyn flaunyssagh? 
JHN.3.13	As cha vel dooinney erbee er gholl seose gys niau, agh eshyn haink neose veih niau, eer yn Mac dooinney ta ayns niau.
JHN.3.14	As myr ren Moses yn ard-nieu y hroggal seose ayns yn aasagh, myr shen shegin da Mac y dooinney v’er ny hroggal seose: 
JHN.3.15	Nagh jean quoi-erbee ta credjal ayn cherraghtyn, agh dy bee yn vea ta dy bragh farraghtyn echey.
JHN.3.16	Son lheid y ghraih shen hug Jee da’n theihll, dy dug eh e ynrycan Vac v’er ny gheddyn, nagh jinnagh quoi-erbee chredjagh aynsyn cherraghtyn, agh yn vea ta dy bragh farraghtyn y chosney. 
JHN.3.17	Son cha dug Jee e vac gys y theihll, dy gheyrey yn seihll; agh dy voddagh y seihll liorishyn v’er ny hauail.
JHN.3.18	Eshyn ta credjal ayn, cha vel eh er ny gheyrey: agh eshyn nagh vel credjal ayn, t’eh er ny gheyrey hannah, er-yn-oyr nagh vel eh er chredjal ayns ennym yn ynrycan Mac v’er ny gheddyn dy Yee. 
JHN.3.19	As shoh yn vriwnys, dy vel soilshey er jeet gys y theihll, as dy row deiney ny s’graihee er y dorraghys na er y toilshey, er-y-fa dy row nyn obbraghyn olk. 
JHN.3.20	Son ta dy chooilley unnane ta jannoo dy holk, cur feoh da’n toilshey, chamoo t’eh cheet gys y toilshey, son nagh jig brah er ny obbraghyn echey. 
JHN.3.21	Agh eshyn ta jannoo firrinys, t’eh cheet gys y toilshey, dy vod e obbraghyn v’er nyn soilshaghey magh, dy vel ad er nyn obbraghey ayns Jee.
JHN.3.22	Ny lurg shoh haink Yeesey as e ynseydee gys cheer Yudea, as duirree eh ayns shen mâroo, as ren eh bashtey. 
JHN.3.23	As va Ean myrgeddin bashtey ayns Enon, er-gerrey da Salem, er-y-fa dy row palchey dy ushtey ayns shen: as haink ad as v’ad er nyn mashtey. 
JHN.3.24	Son cha row Ean foast tilgit ayns pryssoon.
JHN.3.25	Eisht dirree question eddyr paart jeh ynseydee Ean as ny Hewnyn, mychione bashtey. 
JHN.3.26	As haink ad gys Ean, as dooyrt ad rish, Rabbi, eshyn va mayrt er cheu elley dy Yordan, da ren oo feanish y ymmyrkey, cur-my-ner, t’eshyn bashtey, as ta dy chooilley ghooinney cheet huggey. 
JHN.3.27	Dreggyr Ean as dooyrt eh, Cha vod dooinney nhee erbee y ghoaill er hene, mannagh bee eh er ny choyrt da veih niau. 
JHN.3.28	Ren shiuish shiu hene feanish y ymmyrkey lhiam, dy dooyrt mee, Cha nee mish yn Creest, agh dy vel mee er my choyrt roish. 
JHN.3.29	Eshyn dooinney yn phoosee ta ben y phoosee echey: agh ta carrey dooinney yn phoosee ta ny hassoo as geaishtagh rish, goaill boggey mooar jeh coraa yn dooinney-poosee: ta shoh my voggey’s er-y-fa shen jeant magh. 
JHN.3.30	Shegin dasyn bishaghey, agh shegin dooys parail. 
JHN.3.31	Eshyn ta cheet veih’n yrjid, t’eh erskyn ooilley: eshyn ta jeh yn thalloo, t’eh thallooinagh, as loayrt jeh’n thalloo: eshyn ta cheet veih niau, t’eh erskyn ooilley. 
JHN.3.32	As y red t’eh er vakin as er chlashtyn, shen t’eh gymmyrkey feanish jeh; as cha vel dooinney erbee soiaghey jeh’n eanish echey. 
JHN.3.33	Eshyn t’er n’yannoo soiaghey jeh’n eanish echey, t’eh er chur y seal echey huggey, dy vel Jee firrinagh. 
JHN.3.34	Son t’eshyn ta Jee er choyrt, loayrt goan Yee: son cha nee liorish towse ta Jee cur y Spyrryd da. 
JHN.3.35	Ta’n Ayr graihagh er y Mac, as t’eh er chur dy chooilley nhee fo yn laue echey. 
JHN.3.36	Eshyn ta credjal ayns y Mac, ta’n vea ta dy bragh farraghtyn echey: as eshyn nagh vel credjal yn Mac, cha vaik eh yn vea, agh nee jymmoose Yee tannaghtyn er.
JHN.4.1	Tra va fys ec y Chiarn er-y-fa shen, kys va ny Phariseeyn er chlashtyn dy row Yeesey jannoo as bashtey ny sliee dy eiyrtyssee na va Ean. 
JHN.4.2	(Ga nagh row Yeesey hene bashtey, agh e ynseydee) 
JHN.4.3	Daag eh Judea, as jimmee eh reesht gys Galilee. 
JHN.4.4	As beign da goll trooid Samaria. 
JHN.4.5	Eisht haink eh gys ard-valley dy Samaria, ta enmyssit Sychar, er-gerrey da’n pheesh dy halloo hug Jacob da e vac Joseph. 
JHN.4.6	Nish va chibbyr Yacob ayns shen. Myr va Yeesey er-y-fa shen skee lesh e yurnah, hoie eh sheese ayns shen liorish y chibbyr: as ve mysh y cheyoo oor. 
JHN.4.7	Haink ben dy Samaria dy hayrn ushtey: dooyrt Yeesey r’ee, Cur dou jough. 
JHN.4.8	Son va ny ostyllyn er n’gholl gys y valley dy chionnaghey beaghey. 
JHN.4.9	Eisht dooyrt y ven dy Samaria rish, Kys dy vel uss, ta dty Hew, shirrey jough orrym’s, ta my ven dy Samaria? son cha vel veg y dellal ec ny Hewnyn rish ny Samaritanee. 
JHN.4.10	Dreggyr Yeesey, as dooyrt eh r’ee, Dy beagh fys ayd’s er gioot Yee, as quoi eh ta gra rhyt, Cur jough dou? veagh oo er hirrey ersyn, as veagh eh er chur dhyt ushtey bio. 
JHN.4.11	Dooyrt y ven rish, Vainshter, cha vel red erbee ayd dy hayrn lesh, as ta’n chibbyr dowin: cre voish eisht ta’n ushtey bio shen ayd? 
JHN.4.12	Vel uss ny s’ooasle na’n ayr ain Jacob, hug dooin y chibbyr shoh, as diu j’ee eh hene, as e chloan, as y maase echey? 
JHN.4.13	Dreggyr Yeesey as dooyrt eh r’ee, Quoi-erbee iu-ys jeh’n ushtey shoh bee eh paagh reesht: 
JHN.4.14	Agh quoi-erbee iu-ys jeh’n ushtey ver-yms da, cha bee eh dy bragh paagh: agh bee yn ushtey ver-ym da ny farrane ushtey ayn nee geill gys y vea ta dy bragh farraghtyn. 
JHN.4.15	Dooyrt y ven rish, Vainshter, cur dooys yn ushtey shoh, nagh bee’m paagh, as nagh jig-ym ayns shoh dy hayrn. 
JHN.4.16	Dooyrt Yeesey r’ee, Immee as eïe er dty heshey, as tar ayns shoh. 
JHN.4.17	Dreggyr y ven as dooyrt ee, Cha vel sheshey aym. Dooyrt Yeesey r’ee, T’ou er ghra dy mie, Cha vel sheshey aym: 
JHN.4.18	Son ta queig deiney er ny ve ayd, as eshyn t’ayd nish, cha nee dty heshey-poost eh: ayns shen t’ou er ghra yn irriney. 
JHN.4.19	Dooyrt y ven rish, Vainshter, ta mee cur tastey dy nee phadeyr oo. 
JHN.4.20	Ren ny ayraghyn ain ooashlaghey Jee er y clieau shoh; as ta shiuish gra, dy nee ayns Jerusalem ta’n boayl raad lhisagh sleih ooashlaghey. 
JHN.4.21	Dooyrt Yeesey r’ee, Ven, cred mish, ta’n oor cheet tra nagh jean shiu er y clieau shoh, ny foast ec Jerusalem ooashley ’choyrt da’n Ayr. 
JHN.4.22	Ta shiuish cur ooashley da, cha s’eu cre: ta fys ainyn cre ta shin cur ooashley da; son ta saualtys jeh ny Hewnyn. 
JHN.4.23	Agh ta’n oor cheet, as nish ayn dy jean ny ooashleyderyn firrinagh ooashlaghey yn Ayr ayns Spyrryd as ayns firrinys: son ta’n Ayr shirrey nyn lheid oc shoh dy chur ooashley da. 
JHN.4.24	Ta Jee ny Spyrryd, as shegin dauesyn ta ooashlaghey eh, ooashley y choyrt da ayns Spyrryd as ayns firrinys. 
JHN.4.25	Dooyrt y ven rish, Ta fys aym dy vel Messias cheet ta enmyssit Creest: tra hig eshyn, inshee eh dooin dy chooilley nhee. 
JHN.4.26	Dooyrt Yeesey r’ee, She mish ta loayrt rhyt eh shen.
JHN.4.27	As er shen haink e ostyllyn, as ghow ad yindys dy row eh taggloo rish y ven: foast cha dooyrt dooinney erbee, Cre t’ou dy hirrey? ny, Cre’n-fa t’ou taggloo r’ee? 
JHN.4.28	Daag yn ven eisht yn saagh-ushtey eck, as hie ee rhymbee gys y valley, as dooyrt ee rish ny deiney, 
JHN.4.29	Tar-jee as hee shiu dooinney t’er n’insh dou ooilley ny ren mee rieau: nagh nee shoh yn Creest? 
JHN.4.30	Eisht hie ad magh ass y valley as haink ad huggey.
JHN.4.31	Ayns y traa shen ghuee e ostyllyn er, gra, Vainshter, gow beaghey. 
JHN.4.32	Agh dooyrt eshyn roo, Ta bee aym’s dy ee nagh vel fys euish er. 
JHN.4.33	Shen-y-fa dooyrt ny ostyllyn yn derrey yeh rish y jeh elley, Vel dooinney erbee er chur lesh nhee erbee huggey dy ee? 
JHN.4.34	Dooyrt Yeesey roo, Yn beaghey aym’s eh, dy yannoo yn aigney echeysyn t’er my choyrt, as dy chooilleeney yn obbyr echey. 
JHN.4.35	Nagh vel shiu gra, dy vel kiare meeghyn foast, as eisht ta’n fouyr cheet? cur-my-ner ta mish gra riu, Trog-jee seose nyn sooillyn, as jeeagh-jee er ny magheryn; son t’ad bane hannah son y fouyr. 
JHN.4.36	As ta’n beaynee geddyn faill, as chaglym mess gys y vea veayn: dy vod chammah yn correyder as y beaynee boggey y ghoaill cooidjagh. 
JHN.4.37	As ayns shoh ta’n raa shen firrinagh, Ta fer cuirr, as fer elley buinn. 
JHN.4.38	Hug mish shiu magh dy vuinn cooid nagh ren shiu y laboragh: ta deiney elley er laboragh, as ta shiuish er gholl stiagh er y laboraght oc.
JHN.4.39	As ren ymmodee jeh Samaritanee yn ard-valley shen credjal ayn, kyndagh rish raa yn ven, ren feanish y ymmyrkey, Dinsh eh dou ooilley ny ren mee rieau. 
JHN.4.40	Myr shoh tra va ny Samaritanee er jeet huggey, ghuee ad er, eh dy uirriaght mâroo: as duirree eh ayns shen daa laa. 
JHN.4.41	As ren ymmodee elley credjal ayn er coontey e ghoo hene; 
JHN.4.42	As dooyrt ad rish y ven, Nish ta shin credjal, cha nee son y raa ayd’s; son ta shin hene er chlashtyn eh, as ta fys ain, dy nee shoh dy jarroo yn Creest, Saualtagh y theihll.
JHN.4.43	Nish lurg daa laa jimmee eh veih shen, as hie eh roish gys Galilee: 
JHN.4.44	Son ren Yeesey hene feanish y ymmyrkey, nagh vel ooashley ec phadeyr ayns e heer hene, 
JHN.4.45	Tra v’eh eisht er jeet gys Galilee, ren ny Galileanee mooar jeh, liorish dy row ad er vakin ooilley ny ren eh ec Jerusalem, ec y feailley: son v’adsyn er ve ec y feailley. 
JHN.4.46	Myr shen haink Yeesey reesht gys Cana ayns Galilee, raad v’eh er hyndaa yn ushtey gys feeyn. As va chiarn dy row, va’n mac echey ching ec Capernaum. 
JHN.4.47	Tra cheayll eh dy row Yeesey er jeet veih Judea gys Galilee, hie eh huggey, as ghuee eh er, Eh dy heet neose dy lheihys e vac: son v’eh raad y vaaish. 
JHN.4.48	Eisht dooyrt Yeesey rish, Mannagh vaik shiu cowraghyn as yindyssyn, cha jean shiu credjal. 
JHN.4.49	Dooyrt y chiarn rish, Vainshter, tar neose roish my vow my lhiannoo baase. 
JHN.4.50	Dooyrt Yeesey rish, Immee royd; ta dty vac bio. As chred y dooinney yn ockle va Yeesey er loayrt rish, as hie eh roish. 
JHN.4.51	As tra v’eh nish goll sheese, haink ny sharvaantyn echey ny whail, as dinsh ad da, gra, Ta dty vac bio. 
JHN.4.52	Eisht dênee eh jeu cre’n oor ren eh toshiaght dy choural: as dooyrt ad rish, Jea ec y chiaghtoo oor daag y chiassaghey eh. 
JHN.4.53	Myr shen va fys ec yn ayr dy nee ayns yn oor cheddin va Yeesey er ghra rish, Ta dty vac bio; as ren eh-hene credjal as ooilley e hie. 
JHN.4.54	Shoh neesht yn nah virril ren Yeesey, tra v’eh er jeet veih Judea gys Galilee.
JHN.5.1	Ny lurg shoh va feailley ny Hewnyn, as hie Yeesey seose gys Jerusalem. 
JHN.5.2	Nish ta ec Jerusalem liorish giat ny geyrragh, loghan, ta enmyssit ayns y ghlare Hebrewnagh Bethesda, ta queig porchyn er. 
JHN.5.3	Ayndoo shoh va nyn lhie ymmodee dy leih dourinagh, doail, baccee, shirgeydee, as v’ad fieau er gleashaght yn ushtey. 
JHN.5.4	Son va ainle goll sheese ec lheid y traa shen ayns yn ushtey, as seiy yn ushtey: quoi-erbee eisht va hoshiaght goll sheese lurg seiy yn ushtey, v’eh er ny laanaghey jeh doghan erbee dy row er. 
JHN.5.5	As va ayns shen dooinney dy row, va doghan er ve er rish hoght bleeaney jeig as feed. 
JHN.5.6	Tra honnick Yeesey eh ny lhie, as fys echey dy row eh er ve myr shen ry-foddey dy hraa, dooyrt eh rish, Nailt ve er dty laanaghey? 
JHN.5.7	Dreggyr yn annooinagh eh, Vainshter, cha vel dooinney erbee aym, tra ta’n ushtey seiyt, dy my chur sheese ayns y loghan: agh choud as ta mee cheet, ta fer elley goll sheese roym. 
JHN.5.8	Dooyrt Yeesey rish, Trog ort, gow seose dty lhiabbee as jean shooyll. 
JHN.5.9	As er-y-chooyl va’n dooinney er ny lheihys, as ghow eh seose e lhiabbee, as huill eh: as er y laa shen va’n doonaght.
JHN.5.10	Dooyrt ny Hewnyn er-y-fa shen rishyn v’er ny lheihys, She laa yn doonaght t’ayn; cha vel eh lowal dhyt gymmyrkey dty lhiabbee. 
JHN.5.11	Dreggyr eshyn ad, Eshyn ren m’y laanaghey, dooyrt eh shen rhym, Trog dty lhiabbee as shooill. 
JHN.5.12	Eisht dênee ad jeh, Quoi va yn dooinney shen dooyrt rhyt, Trog dty lhiabbee as shooill? 
JHN.5.13	As cha row fys echeysyn v’er ny lheihys, quoi v’eh: son va Yeesey er gholl dy lhiattee, liorish dy row chaglym mooar dy leih ayns y voayl shen. 
JHN.5.14	Ny lurg shen hooar Yeesey eh ayns y chiamble, as dooyrt eh rish, Cur-my-ner, t’ou er dty laanaghey: ny jean peccah ny smoo, er-aggle dy jig red smessey ort. 
JHN.5.15	Jimmee yn dooinney roish, as dinsh eh da ny Hewnyn dy nee Yeesey v’er laanaghey eh. 
JHN.5.16	As er-yn-oyr shen ren ny Hewnyn tranlaase er Yeesey, as v’ad shirrey eh y choyrt gybaase, er-y-fa dy row eh er n’yannoo ny reddyn shoh er laa yn doonaght.
JHN.5.17	Agh dreggyr Yeesey ad, Ta my Ayr gobbraghey derrey nish: as ta mish gobbraghey. 
JHN.5.18	Shen-y-fa va ny Hewnyn wheesh shen smoo shleeuit er cur dy baase eh; er-yn-oyr dy row eh cha nee ynrycan er vrishey yn doonaght, agh er ghra myrgeddin dy nee Jee va’n Ayr echey, jannoo eh-hene corrym rish Jee. 
JHN.5.19	Eisht dreggyr Yeesey, as dooyrt eh roo, Dy firrinagh firrinagh ta mee gra riu, Cha vod y Mac nhee erbee y yannoo jeh hene, agh ny t’eh fakin yn Ayr dy yannoo: son cre-erbee t’eshyn dy yannoo, ta’n Mac jannoo myrgeddin. 
JHN.5.20	Son ta’n Ayr graihagh er y Mac, as t’eh soilshaghey da dy chooilley nhee t’eh hene dy yannoo: as soilshee eh da obbraghyn smoo na ad shoh, dy vod shiu yindys y ghoaill. 
