GEN.1.1	Gaihcij dwg Cangqdiq cauh gwnzmbwn caeuq lajdeih okdaeuj he. 
GEN.1.20	Cangqdiq caiq naeuz: “Youq ndaw raemx ij miz doeng duz sae duz lix! Ij baenx gyoengq baenx gyoengq hwj!” 
GEN.1.21	Couh yienghneix, de couh cauh doengh duz hunghung loetloet he youq ndaw haij caeuq gak cungj doengh duz youq ndaw raemx he, caiq cauh doengh duz miz fwed ndaej mbin he, gak duz gak yiengh. De raen yienghneix caemh baenz. 
GEN.1.22	Cangqdiq youhcaiq hoh fuk hawj doengh duz neix naeuz: “Doengh duz youq ndaw raemx he, gou hawj faenhsou ndaej fat lwg lailai hwj, fat hwj ndaw haij rim bae. Doengh duz roeg mbin youq cungqgyan mbwn he, gou caemh hawj faenhsou ndaej fat lwg lai hwj.” 
GEN.1.23	Yiengq doengxhaet goq, doengxhaemh daeuj, couh dwg ngoenz daixhaj lo.
GEN.1.24	Cangqdiq caiq naeuz: “Doeng duz sae duz lajdeih! Duz loegcuk! Duz daek duz nengz! Duz nyaen duz yex!” Yiengq de doq gangj couh doq miz lo. 
GEN.1.25	Cangqdiq couh yienghneix cauh ok sojmiz dih doenghduz, gak duz gak yiengh. De raen yienghneix caemh baenz.
GEN.1.26	Cangqdiq youhcaiq naeuz: “Daegraeuz ij cauh vunz, cauh gyoengqde luj raeuz, sawjhawj gyoengqde guenj gij bya ndaw haij hah, gij roeg gwnz mbwn hah, gij loegcuk hah, doenghgij duz nyaen duz yex hah, caeuq doenghgij duz daek duz nengz hah, sojmiz hih doenghduz cungj guenj liux bae.” 
GEN.1.27	Yienghneix Cangqdiq couh cauh vunz lo. De cauh luj bonjfaenh de, cauh baenz vunzsai caeuq vunzbaz. 
GEN.1.28	Cauh le, Cangqdiq couh hoh fuk hawj song boux de, doiq gyoengqde naeuz: “Faenhsou ij fat doengh daih gajlaeng lailai hwj, hwngqhwngq seiqseiq, lajmbwn dauqcawq cungj miz bae. Faenhsou caemh ij guenj baenx cenz lajmbwn: guenj gij bya ndaw haij, gij roeg gwnz mbwn, caeuq gij doenghduz youq lajdeih youq he.”
GEN.1.29	De vanzlij naeuz: “Neq! Lajmbwn doengh go miz ceh caeuq doengh go dawz mak he hah, gou cungj nyok hawj faenhsou aeu ma gw. 
GEN.1.30	Doengh go heu swdswd he hah, gou couh nyok hawj doenghduz aeu ma gw. Duz nyaen duz yex hah, duz daek duz nengz hah, duz roeg gwnz mbwn hah, fanjcingq dwg duz diemjcaw he, couh ndaej gw doengh go de lo.” Yiengq de couh yienghneix dingh ndei lo.
GEN.1.31	Guh ndaej le, Cangqdiq yawjyawj, raen sojmiz de cauh okdaeuj hih cungj baenz raixcaix. Yiengq doengxhaet goq, doengxhaemh daeuj, couh dwg ngoenz daixroek lo.
GEN.2.1	Couh yienghneix, mbwnmbwn deihdeih sojmiz hih cungj cauh liux lo.
GEN.2.2	Cangqdiq cauh sojmiz hih liux le, daengz ngoenz daixcaet, couh gijmaz cungj mbouj cauh lo. 
GEN.2.3	De caemh dawz ngoenz neix gek okdaeuj, guh ngoenz dwzbez he, soengq fuk hawj ngoenz neix, aenvih de youq ngoenz neix dingz roengzma, gijmaz cungj mbouj cauh lo. 
GEN.2.4	Couh yienghneix, Cangqdiq cauh liux mbwnmbwn deihdeih sojmiz hih lo.
GEN.2.4	Yehhozvaz
GEN.2.5	lajdeih faexfaex nywjnywj, ndaw reih byaekbyaek haeuxhaeux, cungj mij miz saek go, aenvih de mijyaengz hawj miz fwn doek, caemh mij vunz geng hah ndaem hah; 
GEN.2.6	hoeng, daj lajdoem miz fwi hwnj daeuj, hawj gij doem ndaej ywnh ndaej cumx.
GEN.2.7	Gajlaeng Yehhozvaz Cangqdiq aeu doem ma baenj hwj cauh guh boux vunz he, 
GEN.2.8	Yehhozvaz Cangqdiq caiq youq baixdoeng mwnq Ihdenq mwnq guh aen suen he. De couh dawz de cauh hih boux vunz mwnq coengq youq ndaw suen mwnq. 
GEN.2.9	De caiq hawj doengh go faex gyaeugyaeu ndeindei he daj lajdoem did hwnjdaeuj, caemh giet gij mak ndei gw he. Youq cungqgyan suen caemh miz go faex hawj vunz mbouj rox rai he, caeuq miz go faex hawj vunz ndaej rox faenbied ndei caeuq yak he.
GEN.2.10	Aen suen neix miz diuz dah he ndaej gag iemqraemx aen suen de. Diuz dah neix faen miz seiq nga riuz okbae. 
GEN.2.11	Diuz daixdaeuz heuh dah Bijsoenh; de riuz gvax goq Hahfeizlah. (Hahfeizlah mwnq dieg neix miz gim; 
GEN.2.12	gij gim he cwnz raixcaix. Caemh miz baujsig caeuq cungj iengfaex rang fwtfwt he.) 
GEN.2.13	Diuz daixngeih heuh dah Gihywnq; diuz de riuz gvax goq Gujsiz. 
GEN.2.14	Diuz daixsam heuh dah Dijgwzlijswh; diuz de riuz goq Yaqsuz dih baixdoeng. Diuz daixseiq heuh dah Youqfazlahdij.
GEN.2.15	Yehhozvaz Cangqdiq dawz boux vunz mwnq coengq youq ndaw suen Ihdenq hwj, hawj de youq mwnq youq, caemh hawj de youq ndaw de dajgeng dajndaem caeuq guenjleix aen suen neix. 
GEN.2.16	Yehhozvaz Cangqdiq caemhcaiq hanh boux vunz mwnq, naeuz: “Ndaw suen neix hih mak maz, mwngz cungj ndaej seizbienh gw, 
GEN.2.17	caenhgag ndaek go ndaej hawj vunz rox faenbied ndei caeuq yak mwnq dawz hih mak, mwngz baenzbaenz cungj mbouj ndaej gw. Hauhnaeuz mwngz gw nex, dangjciengz ngoenz de gaengjdingq ngaiz rai lo.”
GEN.2.18	Yehhozvaz Cangqdiq naeuz: “Boux vunzsai dog gag youq mbouj daiq baenz geijlai; gou ij cauh bouxdoih he hawj de. Boux de caemh ndaej hab de, bang de cij ndaej.” 
GEN.2.19	Gajlaeng Yehhozvaz Cangqdiq couh aeu doem ma baenj cauh gak cungj doenghduz, duz vuenz cix miz, duz byaij cix miz, duz mbin cix miz, dawz daeuj hawj boux vunz mwnq, hawj de an coh hawj gyoengqde. Yiengq boux vunz mwnq couh an coh hawj sojmiz hih doenghduz. 
GEN.2.20	De an coh hawj doengh duz cukseng hah, duz roeg mbin gwnz mbwn he hah, caeuq doengh duz nyaen hah, hoeng, youq ndaw doengh duz neix, cungj mij saek duz ndaej hab hawj de guh doih.
GEN.2.21	Yiengq, Yehhozvaz Cangqdiq couh hawj boux vunz mwnq ninz ndaekndaek hwj; ninz ndaekndaek hwj le, Yehhozvaz Cangqdiq couh daj gwnz ndang de aeu diuz ndoksej he, gajlaeng caiq doiqyungz hob gij noh de boiz. 
GEN.2.22	Yehhozvaz Cangqdiq couh yungh diuz ndoksej neix ma cauh boux vunzbaz he, caiq daiq de bae daengz dangqnaj boux vunz mwnq. 
GEN.2.23	Boux vunz mwnq raen le couh naeuz:
GEN.2.23	Boux vunz neix dwg ndaw ndok gou hih ndok, ndaw noh gou hih noh;
GEN.2.23	Gij ndok de dajlaeng gou daeuj, gij noh de caemh dwg dajlaeng gou daeuj.
GEN.2.23	Gou ij hawj de heuh guh ‘vunzbaz,’ aenvih de dajlaeng vunzsai ok daeuj he.
GEN.2.24	Couh vih yienghneix, vunzsai ij biek boh biek meh, caeuq yah doxcaeuq youq, luj baenz aen ndang he, 
GEN.2.25	Mwhde, gannaeuz gvanjbaz de cungj loxgenz loxgangh lah, hoeng, song boux de cungj mbouj rox najnyaenq.
GEN.3.1	Yehhozvaz Cangqdiq cauh hih sojmiz doenghduz, suenq duz ngwz ceiq ganvad. Duz ngwz cam boux vunzbaz mwnq naeuz: “Cangqdiq cingqcaen naeuz faenhsou, mbouj hawj faenhsou gw ndaw suen neix sojmiz hih mak haz?”
GEN.3.2	Boux vunzbaz mwnq han naeuz: “Ndaw suen neix hih mak maz, raeuz cungj ndaej gw; 
GEN.3.3	caenhgag ndaek go youq cungqgyan suen mwnq hih gij mak de, Cangqdiq gimqcij mbouj hawj raeuz gw. Mbouj danhcij naeuz mbouj hawj gw, daiqlienz mo cungj mbouj hawj mo. Hauhnaeuz raeuz mbouj dingq nex, raeuz gaengjdingq ngaiz rai.”
GEN.3.4	Hoeng, duz ngwz mwnq engq han de naeuz: “Faenhsou gaengjdingq mbouj ngaiz rai law! 
GEN.3.5	Cangqdiq mbouj hawj faenhsou gw dwg aenvih de rox, hauhnaeuz faenhsou gw gij mak go faex mwnq nex, faenhsou couh ndaej singqsag goqdaeuj, ndaej luj de yienghmwnq rox faenbied ndei caeuq yak lo.”
GEN.3.6	Yiengq, boux vunzbaz mwnq caemh raen gij mak gwnz go faex mwnq cix ndeiyawj, caemhcix lujnaeuz ndei gw raixcaix nwih, youhcaiq ndaej hawj vunz rox faenbied ndei caeuq yak he. 
GEN.3.7	Song boux de gw le, couh majcangq singqsag hwnjdaeuj; singqsag hwnjdaeuj le, laixlawz cij rox naeuz bonjfaenh yienzlaiz dwg loxgenz loxgangh he. Gajlaeng gyoengqde couh aeu mbaw faex hung, couh dwg mbaw go uzvahgoj, aeu ma neb hwj dangj bonjfaenh.
GEN.3.8	Daengz 
GEN.3.9	Hoeng, Yehhozvaz Cangqdiq engq heuh boux vunz mwnq, naeuz: “Mwngz youq mwnqlaw lah?”
GEN.3.10	Yiengq boux vunz mwnq han naeuz: “Gou dingqri sing mwngz youq ndaw suen byaij le, couh ndoj hwnjdaeuj lo, aenvih gou dwg loxgenz loxgangh he; gou lau.”
GEN.3.11	Gajlaeng Yehhozvaz Cangqdiq naeuz: “Byawz naeuz mwngz ni mwngz loxgenz loxgangh lah? Dwg mbouj dwg mwngz gw gij mak gou gimqcij mbouj hawj mwngz gw he?”
GEN.3.12	Boux vunz mwnq caiq han naeuz: “Mwngz aeu hawj gou guxdoih hih boux vunzbaz mwnq, de aeu gij mak gwnz go faex mwnq hawj gou gw; gou couh gw lo.”
GEN.3.13	Yehhozvaz Cangqdiq dingq le, couh cam boux vunzbaz mwnq naeuz: “Mwngz vihmaz ij yienghneix guh nej?”
GEN.3.13	Yiengq boux vunzbaz mwnq doi naeuz: “Dwg duz ngwz yaeuh hawj gou gw lah.”
GEN.3.14	Gajlaeng, Yehhozvaz Cangqdiq doiq duz ngwz naeuz: “Mwngz ij vih gienh saeh neix hwj ngaiz souh daengz mang, simqciq ngaiz mang ij beij sojmiz hih doenghduz ngaiz mang he lai. Daj seizneix hwnj, mwngz ij aeu dungx ma vuenz, baenxseiq cungj dwg nem doem nem naez. 
GEN.3.15	Gou ij hawj mwngz caeuq vunzbaz miz caeuz; doengh daih gajlaeng mwngz caeuq doengh daih gajlaeng de doxhaemzcaeuz. Doengh daih gajlaeng de hih boux he ij haih ndaek raeuj mwngz, mwngz caemh ij haih gij giujdin boux de.”
GEN.3.16	Yehhozvaz Cangqdiq caemh doiq boux vunzbaz mwnq naeuz: “Gou ij hawj mwngz mwh daiqndang he cix dwgrengz cix hojyouq; daengz mwh seng he, caemh ij in'in hojyouq hojyouq ij rai bae cij ndaej. Gannaeuz yienghneix lah, hoeng, mwngz vanzlij ciuqyiengh sij mbouj ndaej goeng mwngz; goeng mwngz caemh ijsiengj guenjciq mwngz.”
GEN.3.17	Yehhozvaz Cangqdiq caemh vanzlij doiq boux vunz mwnq, couh dwg boux heuh Yaqdangh mwnq, naeuz: “Mwngz gingqyienz dingq gij vah mehyah mwngz, caeg gw gij mak gou gimqcij mbouj hawj mwngz gw he! Yiengq, gij dieg ij vih mwngz hwj ngaiz souh daengz mang, mwngz caemh ij baenxseiq vunz cungj ij guh hong dwgrengz hwj cij ndaej daj ndaw reih sou haeujma hih gij gw. 
GEN.3.18	Lajdoem caemh ij hwnj miz oenoen cahcah, nywjnywj nyaengqnyaengq. Mwngz caemh ij ngaiz daj cungj dieg neix aeu doenghgij gw he. 
GEN.3.19	Mwngz ij guh hong hwj hanh riuz hanh roenx cij ndaej miz gw imq, itcig daengz rai roengz doem bae, aenvih mwngz dwg aeu doem ma cauh he, ij gvi hawj ndaw doem boiz.”
GEN.3.20	Gajlaeng Yaqdangh an coh hawj mehyah de heuh Yaqvah 
GEN.3.21	Yehhozvaz Cangqdiq aeu naeng nyaen ma guh buh hawj Yaqdangh caeuq mehyah de daenj.
GEN.3.22	Gajlaeng, Yehhozvaz Cangqdiq ndaw hoz de gag naeuz: “Boux vunz neix gaenq luj raeuz ndaej rox faenbied ndei caeuq yak he hih lo. Gou mbouj hawj de caiq caeg mbaet aeu gij mak gwnz go faex hawj vunz mbouj rox rai hih mwnq ma gw lo; hauhnaeuz de caeg gw nex, de couh yungjyenj lix roengzbae nej.” 
GEN.3.23	Sojhij Yehhozvaz Cangqdiq couh boenq song boux de ok suen Ihdenq bae. Yienzlaiz Cangqdiq dwg aeu doem ma baenj cauh guh Yaqdangh he, yiengq de couh hawj de bae geng dieg dajndaem, daj ndaw doem ndaej gij gw. 
GEN.3.24	Yehhozvaz Cangqdiq boenq boux vunz mwnq deuz le, couh baij geij boux cenmonz bajsouj he daj gwnzmbwn roengz daeuj, souj youq suen Ihdenq hih mbiengj baixdoeng, caemhcaiq coengq fag giemq he youq mwnq. Fag giemq neix ndaej cienq seiq fueng bat baih, caemhcaiq ndaej ok feiz he. Cangqdiq yienghneix guh couh dwg hen mbouj hawj vunz bae daengz go mak hawj vunz gw le mbouj rox rai mwnq.
GEN.4.1	Yaqdangh caeuq mehyah de ninz. Ninz le, mehyah de couh mizndang, seng miz daeglwg he. Meh de naeuz: “Aenvih Yehhozvaz bang gou, sawjhawj gou ndaej daeglwg neix,” yiengq couh an coh hawj daeglwg neix heuh Gaihyinj. 
GEN.4.2	Gajlaeng de caiq seng daeglwg he, an coh heuh Yaqbwz. Yaqbwz dwg boux ciengx yiengz he, Gaihyinj dwg boux dajndaem he.
GEN.4.3	Miz ngoenz he, Gaihyinj aeu doenghgij de ndaem ndaej hih gij gw, aeu ma guh gij dajbwiz he soengq hawj Yehhozvaz. 
GEN.4.4	Yaqbwz nej, Yaqbwz caemh daj ndaw gyoengq yiengz de aeu geij duz yiengzlwg daixdaeuz he dih gij noh ceiq ndei he, aeu ma guh gij dajbwiz he soengq hawj Yehhozvaz. Hoeng, Yehhozvaz haenj Yaqbwz caeuq gij dajbwiz de, 
GEN.4.5	dauq mij haenj Gaihyinj caeuq gij dajbwiz de. Yiengq Gaihyinj cungj ndatheiq hwj naj ndaem ndetndet bae.
GEN.4.6	Gajlaeng Yehhozvaz cam Gaihyinj naeuz: “Mwngz vihmaz ndatheiq hwj naj ndaem ndetndet bae nej? 
GEN.4.7	Hauhnaeuz mwngz rox guh vunz nex, gou swhmboujyienz haenj mwngz; mbouj nex, mwngz couh veizyiemj, yungzheih famh coih. Coih couh veizyiemj luj 
GEN.4.8	Gajlaeng, Gaihyinj doiq daegnuengx de naeuz: “Raeuz bae rog reihnaz bax!”
GEN.4.9	Gajlaeng Yehhozvaz cam Gaihyinj naeuz: “Daegnuengx mwngz nej, de youq mwnqlaw lah?”
GEN.4.9	Gaihyinj han naeuz: “Mbouj rox law. Nanzdauh gou dwg boux fuqswz yawj daegnuengx gou hih maz?”
GEN.4.10	Yiengq Yehhozvaz caiq saemjcam naeuz: “Mwngz guh gijmaz saeh hax? Gou lujnaeuz dingqri gij lwed daegnuengx mwngz daj laj doem yiengq gou daejdaej danqdanq. 
GEN.4.11	Mwngz gaj de mwhmwnq, gij dieg aj bak gyan gw gij lwed daegnuengx mwngz daj ndaw fawz mwngz riuz okdaeuj he. Sojhij mwngz couh vih yienghneix hwj ngaiz mang lo. 
GEN.4.12	Mwngz dajgeng hah, dajndaem hah, gij dieg caiq mbouj ok doenghgij gw hawj mwngz laem lo; mwngz ngaiz dauqcawq bae liuzlangq cij ndaej.”
GEN.4.13	Yiengq, Gaihyinj doiq Yehhozvaz naeuz: “Fad baenxlai naek, gou dingx mbouj ndaej hah! 
GEN.4.14	Mwngz boenq gou ok mwnq dieg neix bae, mbouj hawj gou caiq raen mwngz, gou couh bienqbaenz boux mij gya mij dangq hih boux liuzlangq he lo. Yiengq gij vunz raen gou cungj ij gaj gou!”
GEN.4.15	Hoeng Yehhozvaz naeuz: “Mbouj ngaiz law. Hauhnaeuz byawz gaj mwngz hih, de couh ij souh daengz caet boix hih bauqwngq.” Yiengq Yehhozvaz couh youq gwnz ndang Gaihyinj guh gij geiqhauh he, mbouj hawj vunz raen de le gaj de. 
GEN.4.16	Gajlaeng, Gaihyinj couh daj Yehhozvaz mwnq bae daengz dieg Nozdwz. 
GEN.4.17	Gaihyinj caeuq mehyah de ninz. Mehyah de couh daiqndang, seng miz daeglwg he, gij coh de heuh Hijnoz. Mwhde Gaihyinj caemh hwnq aen singz he; de aeu gij coh daeglwg de ma an aen singz neix heuh Hijnoz. 
GEN.4.18	Gajlaeng Hijnoz seng Hijnaz; Hijnaz seng Mijhuqyajliq; Mijhuqyajliq seng Majdujsajliq; Majdujsajliq seng Lahmwz.
GEN.4.19	Lahmwz aeu song mehyah, meh he heuh Yaqdaq, meh he heuh Sijlah. 
GEN.4.20	Yaqdaq seng Yajbaz; Yajbaz dwg gij vunz dauqcawq bae dajciengx hih, daengz mwnqlawz youq mwnqlawz hih cojgoeng. 
GEN.4.21	Daegnuengx Yajbaz heuh Youzbaz; Youzbaz dwg gij vunz danz gimz boq dig hih cojgoeng. 
GEN.4.22	Sijlah seng Dujbaz-Gaihyinj; Dujbaz-Gaihyinj dwg cangh diz doengz diz diet hih cojgoeng. Nazmaj dwg dahnuengx Dujbaz-Gaihyinj.
GEN.4.23	Miz baez he, Lahmwz doiq song mehyah de naeuz:
GEN.4.23	Yaqdaq, Sijlah, dingq gou naeuz;
GEN.4.23	Faenhsou dwg gou hih yah, ij dingq gij vah gou naeuz.
GEN.4.23	Gou gajrai sienghaih gou hih vunz,
GEN.4.23	Daiqlienz saeg gou bungq gou hih lwgngez cungj gaj.
GEN.4.24	Gajhaih Gaihyinj hih vunz
GEN.4.24	Ij souh daengz caet boix hih bauqwngq;
GEN.4.24	Gajhaih gou nex,
GEN.4.24	Ij souh daengz caetcib caet boix dih bauqwngq.
GEN.4.25	Yaqdangh caiq caeuq mehyah de ninz; meh de caiq seng miz daeglwg he. Yaqvah naeuz: “Cangqdiq caiq hawj daeglwg he hawj gou dingj Yaqbwz, aenvih Yaqbwz ngaiz Gaihyinj gajrai lo.” Yiengq couh an coh hawj de heuh Caihdwz. 
GEN.4.26	Gajlaeng Caihdwz caemh miz daeglwg he, an coh hawj de heuh Hijnozswq.
GEN.4.26	Daj mwhmwnq, gij vunz ij heuh Cangqdiq nex, couh yungh Yehhozvaz gij coh neix ma heuh.
GEN.5.1	Laj neix dwg Yaqdangh hih doengh daih gajlaeng.
GEN.5.1	Cangqdiq cauh vunz mwhde, dwg cauh luj bonjfaenh de he. 
GEN.5.2	De cauh miz vunzsai caeuq vunzbaz song boux. Mwh cauh vunz mwhde, caemh soengq fuk hawj gyoengqde, heuh gyoengqde ‘vunz.’
GEN.5.3	Yaqdangh ndaej baksam bi mwhmwnq, miz daeglwg he, gij coh de heuh Caihdwz; de luj daxboh de. 
GEN.5.4	Yaqdangh miz Caihdwz le, caiq souh ndaej baenx betbak bi, caemh vanzlij miz lwg. 
GEN.5.5	Yaqdangh souh ndaej baenx goujbak samcib bi cij rai.
GEN.5.6	Caihdwz ndaej bak lingz haj bi mwhde, de miz daeglwg he, an coh heuh Hijnozswq. 
GEN.5.7	Caihdwz miz Hijnozswq le, caiq souh ndaej betbak lingz caet bi, caemh vanzlij miz lwg. 
GEN.5.8	De souh ndaej baenx goujbak itcib ngeih bi cij rai.
GEN.5.9	Hijnozswq ndaej goujcib bi mwhde, miz daeglwg he, an coh heuh Gaihnamz. 
GEN.5.10	De miz Gaihnamz le, vanzlij souh ndaej betbak itcib haj bi, caemh vanzlij miz lwg. 
GEN.5.11	De souh ndaej baenx goujbak lingz haj bi cij rai.
GEN.5.12	Gaihnamz ndaej caetcib bi mwhde, miz daeglwg he, an coh heuh Majlwzlez. 
GEN.5.13	De miz Majlwzlez le, vanzlij souh ndaej betbak seiqcib bi, caemh vanzlij miz lwg. 
GEN.5.14	De souh ndaej baenx goujbak it bi cij rai.
GEN.5.15	Majlwzlez ndaej roekhaj bi mwhde, miz daeglwg he, an coh heuh Yajlez. 
GEN.5.16	De miz Yajlez le, vanzlij souh ndaej betbak samcib bi, caemh vanzlij miz lwg. 
GEN.5.17	De souh ndaej baenx betbak goujcib haj bi cij rai.
GEN.5.18	Yajlez ndaej itbak roekcib ngeih bi mwhde, miz daeglwg he, an coh heuh Hijnoz. 
GEN.5.19	De miz Hijnoz le, vanzlij souh ndaej betbak bi, caemh vanzlij miz lwg. 
GEN.5.20	De souh ndaej baenx goujbak roekcib ngeih bi cij rai.
GEN.5.21	Hijnoz ndaej roekcib haj bi mwhde, miz daeglwg he, an coh hawj de heuh Majdujsajlah. 
GEN.5.22	De miz Majdujsajlah le, caemh vanzlij souh ndaej sambak bi, caemh vanzlij miz lwg. De siengzseiz haenj dingq Cangqdiq gaen Cangqdiq. 
GEN.5.23	De ndaej sambak roekcib haj bi mwhmwnq, 
GEN.5.24	Cangqdiq couh ciep de bae; gij vunz couh mbouj raen de haem lo, aenvih de baenx seiqvunz cungj haenj dingq Cangqdiq gaen Cangqdiq.
GEN.5.25	Majdujsajlah ndaej itbak betcib caet bi mwhde, miz daeglwg he, an coh hawj de heuh Lahmwz. 
GEN.5.26	De miz Lahmwz le, vanzlij souh ndaej caetbak betcib ngeih bi, caemh vanzlij miz lwg. 
GEN.5.27	De souh ndaej baenx goujbak roekcib gouj bi cij rai.
GEN.5.28	Lahmwz ndaej itbak betcib ngeih bi mwhde, miz daeglwg he. 
GEN.5.29	Lahmwz naeuz: “Cangqdiq mang gij dieg, hawj raeuz dwgrengz sinhoj guh hong; daeglwg neix ndaej hawj raeuz daj ndaw dwgrengz sinhoj ndaw de ndaej daengz vued.” Yiengq de couh an coh hawj de heuh Nozyaq. 
GEN.5.30	De miz Nozyaq le, vanzlij souh ndaej hajbak goujcib haj bi, caemh vanzlij miz lwg. 
GEN.5.31	De souh ndaej baenx caetbak caetcib caet bi cij rai.
GEN.5.32	Nozyaq ndaej hajbak bi le, cij miz sam daeglwg, couh dwg Cenj, Hamz caeuq Yajfuz.
GEN.6.1	Gij vunz mbouj dingz hih seng lwg; lajmbwn couh menhmenh miz vunz lai hwnjdaeuj. Gij lwgsau gij vunz caemh gyaeu raixcaix, 
GEN.6.2	yiengq, vunz cwng doengh boux ‘lwg cwnz’ he mwnq raen doenghheij lwgsau heijvunz mwnq gyaeu le, couh seizbienh genj aeu ma guh yah. 
GEN.6.3	Gajlaeng Yehhozvaz naeuz: “Vunz giqyienz dwg ndangnoh hih vunz, yiengq gij Hoenzsaenz gou hozbiet ij yungjyenj youq laeng gyoengqde laem; gij mingh gyoengqde caemh mbouj ndaej souh cauhgoq bakngeih bi laem lo.”
GEN.6.4	Mwhmwnq gij vunz cwng hih ‘lwg cwnz’ he caeuq gij lwgsau vunz gaep guh gvanjbaz le, doengh daih gajlaeng de cix yak cix ak, youq gujdaiq cienfanh miz mingz he. Yiengq youq mwhneix, caemh miz dujfeij (gajlaeng caemh vanzlij miz he). Gij vunz couh heuh gij dujfeij neix heuh ‘vunz goeg.’
GEN.6.5	Yiengq, Yehhozvaz raen gij vunz cungj gig yakrwix, ndaw sim naemj hih cungj dwg gig doegdoeg siebsieb le, 
GEN.6.6	de couh vih bonjfaenh de cauh vunz hwj siengsim. 
GEN.6.7	De naeuz: “Gou ij dawz gou soj cauh hih vunz hah, doengh duz cukseng hah, duz vuenz lajdoem he hah, caeuq duz mbin gwnz mbwn he hah cungj cawz liux, cawzraeg bae, aenvih gou ienq cauh gyoengqde lo.” 
GEN.6.8	Hoeng, caenhgag Nozyaq youq ndaw lwgra Yehhozvaz cij dwg boux vunz ndei he.
GEN.6.9	Laj neix dwg ranz Nozyaq dih lizsij.
GEN.6.9	Nozyaq dwg boux simndei simsoh he hih vunz; youq daih mwhde, Nozyaq dwg boux mij gijmaz ndaej diudik he dih vunz, aenvih de haenj dingq Cangqdiq gaen Cangqdiq. 
GEN.6.10	De miz sam daeglwg, couh dwg Cenj, Hamz caeuq Yajfuz.
GEN.6.11	Mwhmwnq, lajmbwn sojmiz hih vunz youq ndaw lwgra Cangqdiq cungj dwg yakyak rwixrwix he. 
GEN.6.12	Cangqdiq yawjraen lajmbwn, yawjraen gij vunz cungj dwg doegdoeg siebsieb le, 
GEN.6.13	de couh doiq Nozyaq naeuz: “Gou gietdingh ij cawz vunz, aenvih gyoengqde sawjhawj lajmbwn dauqcawq cungj dwg doegdoeg siebsieb. Sojhij gou ij cawz sojmiz hih vunz caeuq lajmbwn sojmiz he. 
GEN.6.14	Mwngz ij aeu faex coengzbek ma cauh aen ruz luj aen sieng he. Aen ruz neix caemh ij gek miz baenx fungh baenx fungh hwj, ndawndaw rogrog cungj ij duz lizcingh haeujbae.
