MAT.1.1	Devit ninado Abraham nah sapfii mpou Jisu Kristamah adoidoi tiisii lungkahum Pfiitat mah larek.
MAT.1.25	nlenii mpounii nah sapfiimei hangninii lungkasutatei Josephnii mpoupeigo kapeilat makle ninado Josephnii mpou zei tei Jisu tak aitakle.
MAT.2.1	Herot Sagong mah tinglang kak Judiya kito kalei Bethlehem kito Jisugo lung kaleitai, 
MAT.2.2	“Julo, leimik kapat lamto Sageiti mah kati ka- ngoumeinii Jehudimei mah Sagong mah Sagong manaa kabam tei kadaki leiposii Jerosalemki gong takle. Kadapokii nyiinii leimik kapat lamto Mpou mah Sageiti tei ngoutakle, sateichii mpougo mata tang karam jangpii nyiinii gongleile.” 
MAT.2.3	Sagong Herotnii ai shii wosek-kii, mpou ninado Jerosalem kito kalei mei hangnii swi mage takle. 
MAT.2.4	Mpounii Tingdimei hang go sateichii Ajai- tingshang kati ojameihang go lat ndwisii, “Krista ai kada kito manaa tangposii?” ahnyii dato n-nhiitakle.
MAT.2.5	Ahnyiinii mpougo khekalatle, “Judiyaki Bethlehem kitole”; “dapokii Lungkakalingmeinii aitiisii ryiibamle:
MAT.2.6	‘He Judiya sazyii kito kalei Bethlehem,
MAT.2.6	nangnii Judiya mah sagongmeihang kak kito kacheng chengsang makle;
MAT.2.6	kadapokii gomei Isrelmeigo koipyii tang karam apum katii mei hangninii godato pat tangle.’ ”
MAT.2.7	Teito Herotnii kati kangoumei gotei makumpii lat-tosii sageiti tei kadadou patpo katu ahnyii dato n-nhii kamati wotakle. 
MAT.2.8	Sateichii mpounii ahnyiigo Bethlehem kikii aitiisii tamsii matat aitakle, “Nah gotei tiigatpii fiitulo, sateichii gonyiinii mpougo ngou wosekchii, Iniido gong mpougo mata kabui tiisii gudakii sam pung gongpyiilo.”
MAT.2.9	Ahnyiinii Sagong mah kakhat- sam tei shii wosii tat tutakle; sateichii julo, leimik kapat lamto kangou sageiti tei nahnii kalei bam Phyiiryii tei gongsii sat kasutatei ahnyii doi reitakle. 
MAT.2.10	Sateichii ahnyiinii sageiti tei ngou wosii tampei kalak tiisii ntale. 
MAT.2.11	Sateichii ahnyiinii teiki kikalung tei tatliitsii nah tei pwi Meri-go kaswisii kalei tei ahnyiinii ngou wotakle sateichii ahnyiinii kok-kumsii mpougo matale. Teito ahnyii mah pyiitang karam pot tei laat tosii, ahnyiinii Mpougo mai- kateeng Sona, keirum kabi sateichii manam kabi Myrrh tei pyiitakle.
MAT.2.12	Sateichii Saraanii ahnyiigo Herotda nlaigong sulosii ahnyii mah mang kito mati kapyii taiswisii ahnyiinii pwidi kakilamto ahnyii mah sazyiiki katang tei tat tutakle.
MAT.2.13	Sateichii ahnyiinii tat katutai, Julo, Bangpii mah Sating gamlui hangninanii Joseph mah mang kito humsii tamle, “Gungtusii nah nei Pwigo tei pangsii Izip sazyiiki tat tulo, sateichii Inii tam kasuta bam teiki teito bamlo; kadaponii Herotnii nah aigo tiimaga tang karam jangpii fiigong leziitakle.” 
MAT.2.14	Teito mpounii gungtusii nah tei nei pwi gotei tinghumkii pangsii Izip sazyiiki tat tutakle. 
MAT.2.15	Sateichii Abangpiinii Lungkakalingmeigo tam matu katu, “Inii gunah sapfii mpougo Izip kito lat to-takle,” katu ai gong matwi matu tang karam jangpii Herotnii tai kasuta tei teibam kito leile.
MAT.2.16	Teito kati kangoumeinii mpougo achem tiisii kapek wotakle katu tei Herotnii ngou wosek-kii, hangkapii rarhiisii kati kangoumei dato n-nhii kamati wokalu tinglang tei taiswisii Bethlehem ninado teiki baang kito kalei tingkum hangna kashang ninado teikangto kalei nah sapfiimei hang gotei mei langkai- pyiisanii gitoi malei aitakle. 
MAT.2.17	Teito Lungkakalingpii Jerimaiyanii tam kabam tei gong matwi takle:
MAT.2.18	“Teiteinii hungsii hat kalei,
MAT.2.18	ninado hangkapii magee kalei rok hangninii Ramah kito shiile.
MAT.2.18	Rachel nii mpoupei mah nahmei jangpii hatle,
MAT.2.18	mpoupeigo twumpei wolak takle;
MAT.2.18	kadapochiinii ahnyii tei gatakle.”
MAT.2.19	Herotnii tai kaleitai, Julo, Izip kito Bangpii mah Sating gamlui hangninanii Joseph mah mang kito gongsii tamle, 
MAT.2.20	“Gungtusanii nah nei pwigo pangsii Isrel sazyiiki nlai tulo, kadapochiinii nah mah rangii poitanglesii fiikalei ahnyii tei tai- takle.” 
MAT.2.21	Sateichii mpounii gungtu wosanii, nah ninado pwi gotei pangsii Isrel sazyiiki gongtakle.
MAT.2.22	Nlenii Arkaliyasnii mpoupfii Herot tung tousii Judiyaki sagong magong leitakle katu tei shii wosii, teiki bamki tei gong hing takle. Satei- chii Saraanii mang kito tam kakhat kapyii taiswisii Mpounii Galili sazyii mah bam hangniniiki tat tutakle. 
MAT.2.23	Sateichii Lungkakalingmeinii tam kabam: “Mpougo Nazaretmei sii lat tanglesii” katam tei gong matwi matutang karam jangpii Nazaretsii kalat namdi kitei mpounii gong lungtu takle.
MAT.3.1	Teitinglangki Jon dwi mpum ka- pyiipanii gongsii Judiyaki sazyii kamarong kito tam ralipyiitu takle, 
MAT.3.2	“Lungkali wolo, daponii sating gam sazyii tei natakle.” 
MAT.3.3	“Kadapokii sazyii kamarong kito saa kalei rok hangninii teinii, Bangpii mah Pwidi tiikadalo, Mpoumah pwidi tiima- jyiilo” sii Lungkakalingpii Isaiyanii tam kabam mei tei Ah teisekle.
MAT.3.4	Jon-nii poutungki kounah mai peimani kaile, sateichii mpoumah kiiki kikii tiigyii mah haikak kakle; sateichii mpoumah chiitak teinii kacheeng ninado saramkui dwi teile. 
MAT.3.5	Teito Jerosalem kito kalei Judiya hang kito kalei sateichii Jordan longkoi kuto kalei ahnyii hangnii tatpatsii mpouda gongle; 
MAT.3.6	sateichii ahnyii mah kem hangtei tam mpatsii Jordan karyii kito ahnyiinii mpou dato dwi mpum wotakle.
MAT.3.7	Nlenii Farasismei ninado Sadhu- mei hangteinii dwi mpum tang karam jangpii gong kalei tei ngou wosii mpounii ahnyii dakii tamle, “He sanhii taa-nahmei, gongtang karam rakarhii kiteito nlek wolosii gonyii dakii tanii ralipyiipo? 
MAT.3.8	Gonyiinii lungkali kalu mah riiti tei matilo, 
MAT.3.9	sateichii ‘nyii pfii Abraham leilesii tamlesii gonyii lung kito maning sulo;’ kadapokii Inii gonyiigo tam leile, Saraanii Kuitu hang kito Abraham dakii mpou nahmei tii mpat-to buile. 
MAT.3.10	Aitoidoruibang hang mah maa kikii aryii hoisii bamle, teijangpiinii riiti kabi mati kasu ruibang hang gotei bitoisii misumkii toikai tangle.
MAT.3.11	“Lungkali kalu jangpii Inii dwi kito gonyiigo dwi mpum pyiile; nlenii gutaito gongtang karam Ah teinii gudoito dikile; Inii mpoumah pichot kapoi katangdo tiikajyii makle, Ahnanii gonyiigo rangii kamatei kito ninado mipii dwi mpumpyii tangle. 
MAT.3.12	Mpoumah marhii tei mpou bah kito leile sateichii mpounii mpoumah lu-thai tei tiimatei sagei aisii mpoumah ati tei athiibou kikii poi ndwi tangle, nlenii araang gamtei miitsang miit kasu mibam kikii toikai aitangle.”
MAT.3.13	Teito Jon-nii mpougo dwi mpumsei matutang karam jangpii Jisunii Galili kito Jordan ki gongtakle. 
MAT.3.14	Nlenii Jon-nii mpougo namsii tamtakle, “Nangniipou n-gu dwi mpumpyii kajyiile, nlenii nangnii guda gongleima!”
MAT.3.15	Nlenii Jisunii mpougo kheka- latle, ‘Aitoi jangpii teitii maleilo, kadaponii aitiisii nyiinii kasang kamajyii tha hangtei tiimatwi gong kajyiile,’ teito Jon-nii mazhii takle.
MAT.3.16	Sateichii Jisunii dwi mpum kaleitai, mpounii dwi kito pat takle, sateichii ‘Julo, sating gam laat takle sateichii Saraa mah rangii teinii mahou takumpii humsii mpou phyiiryii hum vakapyii tei mpounii ngoutakle, 
MAT.3.17	sateichii’ julo, sating gamto rok hangninanii tamle, “Ai ai Inii lungkasyii gunah sapfii mpou teile, Mpougo Inii hangkapii lung- mangle.”
MAT.4.1	Teito sara kashyiinii hemtang karam jangpii Jisugo rangiinii sazyii kamarong kikii pangsii tat tutakle. 
MAT.4.2	Sateichii leimik rekdai tinghum tingna mpounii malotryii kaleitaito mpou moi majyii takle. 
MAT.4.3	Teito Seitan teinii mpouda gongsii “Nang Saraa nah Sapfii mpou lepochiinii, kuitu hang ai tiirok ndat tolosii kakhatlo,” sii tamtakle.
MAT.4.4	Teito mpounii khekalatle, “Aitii- sii ryiibamle, ‘tiirok roinapiinii mei ringlakle, nlenii Saraa mah mwi kito kapat samkang hang teipiinii ringtangle.’ ”
MAT.4.5	Sateichii seitan teinii mpougo Jerosalem kamatei namdiki pang- pisanii Saraa kamaning ki atoi toisangkii masatsanii, 
MAT.4.6	mpoudakii tamle, “Nang Saraa nah sapfii mpou lepochiinii, goroinapii saimanglo; kadapokii aitiisii ryiibamle, ‘Saraanii mpoumah sating gamluigo gojangpii lang m-mang pyiisii,’ kuitu gamkii gopi deng matulak tang karam jangpii ahnyiinii n-go ahnyii bahpiinii jum matupyii tangle.”
MAT.4.7	Jisunii mpoudakii tamle, “Aitii- sii ryii bamloile, ‘Nangnii Bangpii go Saraa go ajai julakle.’ ”
MAT.4.8	Nlailoisii seitan teinii mpougo hangkapiinii kasagoi zang hangni- niiki pangpisii Sazyii pouryii mah sagong sazyii hang ninado ahnyii mah pumtei kava tei mpoudakii mangousii, 
MAT.4.9	seitan teinii mpou dakii tamle, “Nangnii koumangsii n-gu mata lepochiinii, aihang ai Inii n-go pyiitangle.”
MAT.4.10	Teito Jisunii mpou dakii tamle, “Tat tulo, Seitan; daponii aitiisii ryiibamle, ‘Nangnii Bangpii go Saraa gotei mata tang karamle, sateichii nangnii mpougo roinii nga-ngatangle!’ ”
MAT.4.11	Teito seitan teinii mpougo toi aitakle, sateichii julo, sating gamlui- hangnii humsii mpougo tiihale.
MAT.4.12	Jon go jum wotakle katu Jisunii shii wosek-kii, mpounii Galili ki tat tutakle. 
MAT.4.13	Sateichii Nazaret kito ntaksupii Zebulun ninado Naptali mah sating sazyii, dwijai kuto kalei Kaiparnam ki lung tang karam jangpii tat tutakle, 
MAT.4.14	katunii Lung- kakalingpii Isaiyanii tam kabam:
MAT.4.15	“Zebulun sazyii ninado Naptali sazyii,
MAT.4.15	dwijai lam pangto kalei Jordan majusii,
MAT.4.15	Jehudimei kasu lui kakimei mah sazyii, Galili!
MAT.4.16	Kamyii kito lungkaleimei teinii kava kadi tei ngoutangle.
MAT.4.16	Katai mah kamyii sazyii kito lungsii kalei ahnyii phyiiryiito vaipyii tangle katu sam ai kasangpii gong matwi matutang karam jangpiile.
MAT.4.17	“Lungkali wolo, Kadaponii sating gam sazyii tei natakle.” Sii tamsii Jisunii tei tinglang sekpii tam ralipyiihou tutakle.
MAT.4.18	Sateichii mpounii Galili dwijai liikuto tat kapi kak, Pitar sii kalat Simon ninado mpoutai-karhiipii Andru, ahnei sana hangna ai dwijai kito ralang rotsii kalei tei ngoutakle, kadapokii mpoupiina tei kaa ka- limeile. 
MAT.4.19	Sateichii mpounii ahnyii dakii tamle, “Patlo, gutai swi wolo, Inii gonyiigo mei kanum mei tiimatu tangle.” 
MAT.4.20	Teisek-kii mpoupiinanii ralang rat toi aisii mpou-tai swiwo takle.
MAT.4.21	Sateichii bam teiki teito aitiisii tatjou pikii, mpounii kaki asanamei hangna, Zebedi nah sapfii mpou Jems sateichii mpou taikarhiipii Jon, ahnei hangna mpou pfii Zebedigo kaswisii malyii hangninii kito ahnyiimah ralang potsii kalei tei ngoutakle. Teito mpounii ahnyiigo lat takle. 
MAT.4.22	Teisek-kii ahnyiinii malyii ninado ahnei pfii go toimaraisii mpou-tai swi wotakle.
MAT.4.23	Sateichii mpounii ahnyii mah ndwibam hang kito ralipyiisii, sateichii sating gam sazyii mah kabi rasam tam ralipyiisii sateichii ahnyii meihang kak kito arahang ninado katchiihang tei tii mbi pyiisii Galili sazyii hangki tatgong takle. 
MAT.4.24	Sateichii mpoumah zei katat tei Sairiya bamlyii hangki kahitu takle; sateichii ahnyiinii mpouda rakani- mei hang, ra katham kathampii goisii ninado tchiisii kalei, sara kashyiinii jum kalu, tai taipi katu, pumpei katai meihang go pang gong takle, sateichii mpounii ahnyiigo tii mbipyii takle. 
MAT.4.25	Sateichii Galili, Dekapolis, Jerosalem, Judiya ninado Jordan majusii doito meimoi moisang nii mpou-tai swiwotakle.
MAT.5.1	Meimoi tei ngou wosii, mpounii zang gam tatpi takle, sateichii mpounii hum bam sek-kii, mpou boumeinii mpouda gong takle; 
MAT.5.2	sateichii mpounii mwi n-gapatsii ahnyiigo tam ralipyii tutakle:
MAT.5.3	“Rangii kasuimei sadoi bile,
MAT.5.3	kadapokii sating gam sazyii tei ahnyii mahle!
MAT.5.4	“Lung kamagesii kaleimei tei sadoi bile;
MAT.5.4	kadapokii ahnyiigo tii-nta pyii tangle!
MAT.5.5	“Lungkamanoi meitei sadoi bile;
MAT.5.5	kadapokii sazyii pouryii ai ahnyiinii towtangle!
MAT.5.6	“Kasang kamajyii jangpii mazyii saryiisii kaleimei sadoi bile;
MAT.5.6	kadapokii ahnyiigo tiitokryii pyiitangle!
MAT.5.7	“Meigo lungset katimei sadoi bile,
MAT.5.7	kadapokii ahnyiinii lungset kati tei doutangle!
MAT.5.8	“Lung kamateimei tei sadoi bile,
MAT.5.8	kadapokii ahnyiinii Saraago ngoutangle!
MAT.5.9	“Tiikamajungmei tei sadoi bile,
MAT.5.9	kadapokii ahnyiigo Saraa nah mei lat tangle!
MAT.5.10	“Kasang kamajyii jangpii kaset kalak dousii kaleimei tei sadoi bile,
MAT.5.10	kadapokii sating gam sazyii tei ahnyii mahle!
MAT.5.11	“Gonyiinii gutai kaswimei katii jangpii kalet kalou katii, sateichii kaset kalak pyiisii kalei sateichii gonyii phyiiryiikii kashyii kashyiipii tamkai kapyii tinglang kak gonyii sadoi bile. 
MAT.5.12	Ntalo ninado rangalo, kadapokii gonyii jangpii alangh kadi tei sating gamkii kaibam takle, kada- pokii gonyii doito kalei Lungkakaling meihang go aitiisii tiimaset tiimalakle.
MAT.5.13	“Gonyii sazyii pouryii mah thai teile; nlenii thai teinii ahmah kumkabi tei maga aitakleponii, kada takumpii kum matuloi wotangpo? Ainii rat toisii meinii pipii kapiidiit teisupii samah kado kabi tei gatakle.
MAT.5.14	“Gonyii sazyii pouryii mah kavale. Zang gamto kalei namdi hangniniigo kabaipei wolakle. 
MAT.5.15	Sateichii meikado thaomi maseisii razyii kangkii kailei makle; nlenii thaomi kadung gamkii kaisii kilungto kalei hang go tii mvapyii leile. 
MAT.5.16	Teitakumpii gonyiimah tha kabi tei meihangnii ngou wosii sating gamto kalei gonyii pfiigo tam matoi matutang karam jangpii gonyii mah kava tei meihang doito vamatulo.
MAT.5.17	“Ajaitingshang ninado Lungka- kalingmei mah rali kapyii hangtei Inii tiimagalesii gongziilesii maning sulo; Inii tiimagalesii gong makle, nlenii tiimatwi tang karam jangpii gongle. 
MAT.5.18	Kadapokii Inii gonyii dakii kasangpii tam leile, sating ninado sazyii gatu kasuta, ajaitingshang ki- teito samah kado, mak-kii tow kabam geksa kacheng hangniniido, mahlyii- hang gong matwi kasuta, galakle. 
MAT.5.19	Teipiinii mei kata kangkanii ka- khatsam aihang ki aito ahang mangto kacheng chengsang hangniniigo tii- paksii meigo teitakumpii ralikapyii ahgotei sating gam sazyii kito ahgo hang mangto kacheng chengsang lat tangle; nlenii kata kangkanii katam swisii tam ralipyii leponii ahgo sating gam sazyii kito kadi lat tangle. 
MAT.5.20	Kadapokii Inii gonyii dakii ka- sangpii tam leile, gonyiimah kasang kamajyii teinii Ajaitingshang kati ojamei ninado Farasismei hang doito kisuleponii, gonyiinii sating gam sazyiiki liitsang liitpei wolakle.
MAT.5.21	“Nangnii ‘meigo gilakle, satei- chii mei kata hangninanii meigo gileponii, samtak tiitanglesii’ ndou kareidou tam kabam tei gonyiinii shiitakle. 
MAT.5.22	Nlenii Inii gonyii dakii tamleile, mei kata kangkanii mpou sanapiigo rarhii leponii, samtak tiitangle, sateichii kata kangkanii sanapiigo kalet kalou katiisam tam leponii, samtak katiibamki pangkhii tangle, sateichii kata kangkanii ‘ka- pang kamangpii nang sii’ tamleponii, sadoi kashyii mibamki liit tangle. 
MAT.5.23	Teijangpii nang kakhatbam kikii gomah pyiitoi tang karam pot poigong kalei kito gosanapiinii go phyiiryiikii mah kata kara mazhii kasu hangninii kaleitei maning gong woleponii, 
MAT.5.24	pyiitoi tang karam pot tei kakhatbam doiteikii kaibamsanii, maasii gosanapiigo kakubi reiwolo, sateichii teito gongsii gomah pyiitoi tang karam pot tei pyiilo.
MAT.5.25	“N-go siiset pungsii kalei ah teinii n-go kaswisii pwidi tat kalei ki kak-kii kalangsii tiimatei ailo; teisuleponii sampatsii kalei ah teinii n-go samtak katiipii dakii pyiitoi aitangle; sateichii samtak katiipii teinii n-go dargamei dakii pyii aisii kabang kikii maliit aitangle. 
MAT.5.26	Inii n-go kasangpii tam leile, nangnii pyiitang karam kalui paisa katang tei pyii kasuta teibam kiteito nangnii patsang patlakle.
MAT.5.27	“Nangnii ‘mashung maha lakle’ sii tam kabam ai gonyiinii shii takle, 
MAT.5.28	nlenii Inii gonyii dakii tamleile, sapwimei hangniniigo pumzai mah kamaning kamarei kito jukalei hang teinii ahmah lung kiteito mpoupeigo mashung maha aitakle. 
MAT.5.29	Sateichii gomah mik ajiilam pang teinii n-go kem kikii chyiikaisii leileponii, mik tei lat-mpatsii toi ailo, kadapokii go pumpot hang mibamki liit matu katu sungnii go pumpot mah njai hangninii maga kalei teinii gojangpii bibwile. 
MAT.5.30	Sateichii gobah ajiilam pang teinii n-go kem kikii chyiikaisii leileponii, tat-ndangsii rat toi ailo; gopum pot hang mibamki liit tang karam sungnii go pumpot mah njai hangninii maga kalei teinii gojangpii bibwile.
MAT.5.31	“Aitiisiido tambamle, ‘Sapfiimei kata hangninanii mpou nougo n-nou aitangle leponii, mpounii n-nou katu mah larek hangninii mpoupei dakii pyii matulo’. 
MAT.5.32	Nlenii Inii gonyii dakii tam leile, matei kasu tha jang- pii supiinii sapwimeigo n-nou kalei hangteinii mpoupeigo mashung maha matu aitakle, sateichii mei kata kangkanii n-nou kalei sapwi mpei gotei manou woleponii, mashung maha aitakle.
MAT.5.33	“Nlailoisii ndou kareimei dakii tam kabam tei gonyiinii shiitakle, teiteinii, ‘nangnii kasang supii chui- sii rasat sulo, nlenii nangnii rasat kabam tei Bangpii dakii tiimashang pyiilo.’ 
MAT.5.34	Nlenii Inii gonyii dakii tam- leile, Rasatsang rasat sulo, sating zei latsiido rasat sulo, sating ainii Saraa mah Sagongbamle; 
MAT.5.35	mak-kii sazyii zei latsiido rasat sulo, kadapokii sazyii ainii Mpoumah pi kakunile; mak-kii Jerosalem zei latsiido rasat sulo, kadapokii Jerosalem ainii Sagong kadi mah namdile. 
MAT.5.36	Go phyii jum siido rasat sulo, Kadapokii nangnii tham pak-kado tiimaha mak-kii tiimatekpei wolakle. 
MAT.5.37	Nlenii gomah sam tei nle leponii, nle sii tamlo, makle leponii maklesii tamlo, sateichii aidoito kakihang teinii sara kashyii datole.”
MAT.5.38	“Mik hangninii tung mik hangninii, ghii hangninii tung ghii hangninii sii tam kabam tei gonyiinii shiitakle. 
MAT.5.39	Nlenii Inii gonyii dakii tamleile, gonyiigo tiikama meigo kum-fii sulo, mei kata hangninanii gonyiigo beeng ajiilam kaphyii leponii, beeng abilam pang teido ahgo kaphyii matulo. 
MAT.5.40	Sateichii gomah peijou tei ahgo pyii matunyiisii sam- tak katiipii doi n-go pangkhii leponii, gomah kabapei teido ahgo pyii ailo. 
MAT.5.41	Sateichii mei kata hangninanii n-go ahmah pot kilomiter hangninii pungtatlo katupii dwisii rat leponii, kilometer hangna pungtatlo. 
MAT.5.42	Godato kakhangmei gotei pyiilo, sateichii godato siipok kanyiimei hang gotei mazhii kasu tiisulo.
MAT.5.43	“Goki ‘tiinaniipameigo lungsyiilo sateichii gomah ngoukarou meigo n-ranglo,’ sii tam kabam tei gonyiinii shiitakle. 
MAT.5.44	Nlenii Inii gonyii dakii tamleile, gonyiinii sating gamto kalei gonyii Pfiimah nahmei tei tiitang karam jangpii ngoukaroumeigo lung- syiilo, sateichii gonyiigo tiimaset tiimalaksii kaleimei jangpiinii riita pyiilo, 
MAT.5.45	kadapokii mpounii kashyii- mei ninado kabimei phyiiryiikii mpou mah leimik tei vamatule; sateichii kasang kamajyiimei ninado kasang kamajyii tiikasumei phyiiryiikii sating ryiikai pyiile. 
MAT.5.46	kadapokii gonyiinii gonyiigo lungkasyiimeigo roinii lungsyii leponii, gonyiimah alangh kadapei leipo? Kem katii aha-kahamei hangniido teiteinii tiilei makde? 
MAT.5.47	Sateichii gonyiinii gonyii kangsanameigo roinii karou kariit leponii, kakimei doito gonyiinii kadapei kisii tiipo? Jehudimei kasu lui kakimeiniido teitei tiilei makpo? 
MAT.5.48	Teijangpiinii gonyii mah sating gam-pfii teinii bikamatui takumpii gonyiido bimatui tang karamle.
MAT.6.1	“Meigo mangoutang karam jangpii gonyii mah kasang kamajyii tha tei tiikasu tiisii sakai wolo, teisuleponii sating gamto kalei gonyii Pfii dato gonyii lhang doulakle.
MAT.6.2	“Teipiinii gonyiinii mah kaga- meigo tiikaha tinglang kak, kabijai katiimeinii Ndwibam hangkito sateichii pwidi kadi hang kito meinii tam matoi matu tang karam jangpii katii takumpii gonyiinii meihang kasiiti tiisii tiisulo. Inii kasangpii gonyii dakii tamleile, ahnyiinii ahnyii mah lhang tei doutakle. 
MAT.6.3	Nlenii gonyiinii mah kagamei go tiikaha tinglang kak, gobah ajiilam teinii kadapei tiiziipo katu tei gobah abilam teinii timatu sulo, 
MAT.6.4	teitiisii gonyiinii mah kagamei go tiikaha tinglang kak tei makumpii pyiilo; teidinchii makumpii ngoukalei go Pfiinii n-go lhang pyiitangle.
MAT.6.5	“Sateichii gonyiinii kariita tinglang kak kabijai katiimei takum sulo, kadapokii ahnyiinii meinii ngoumatu tang karam jangpii, Saraa kamaning kito sateichii pwidi kadi akaahang kito ahnyiinii kariita tei mareile. Inii gonyii dakii kasangpii tam leile, ahnyiinii ahnyii mah lhang tei doutakle. 
MAT.6.6	Nlenii nangnii kariita tinglang kak kamakum goki kalung tei liitsii, goki takam kakam aisii, mikpii ngoukasu go Pfii dakii riitalo; sateichii makumpii ngoukalei go Pfiinii n-go lhang pyiitangle.
MAT.6.7	“Sateichii kariita tinglang kak Jehudimei kasu lui kakimei takum- pii kaang kaga samkang hangtei tamsulo; kadapokii ahnyii mah samkang hangkii katam jangpii ahnyiigo shiipyii tanglesii ahnyiinii maningle. 
MAT.6.8	Ahnyii takum sulo, kadapokii gonyiinii khang kasuniito gonyiinii kamarei hangtei go nyii Pfiinii tile.
MAT.6.9	“Teipiinii gonyiinii aitiisii riitalo:
MAT.6.9	‘Sating gamto kalei nyii Pfii,
MAT.6.9	Go zei kamatei tei matulo;
MAT.6.10	Go mah sating sazyii gong matulo;
MAT.6.10	Sating gamto nangnii kamaning kamazhii katii takumpii sazyii pouryiito tiimatulo.
MAT.6.11	Tingnei tingneikii mah chiitak tei nyiigo tingnei pyiiseilo,
MAT.6.12	sateichii nyiiniido nyiidakii kama katiimeigo kaleikapyii takumpii,
MAT.6.12	nyiinii tiikama hangtei kaleipyiilo.
MAT.6.13	Sateichii nyiigo kahemki maliitsei sulo,
MAT.6.13	nlenii kashyii kiteito nyiigo keipyiilo.
MAT.6.13	(Kadapokii sagong sazyii, teimaham ninado pumtei kava tei kalui kaga gomahle. Amen.)
MAT.6.14	“Kadapokii gonyiinii mei mah kakui kama kaleipyii leponii, sating gam gonyii Pfiinii gonyii godo kaleipyii tangle. 
MAT.6.15	Nlenii gonyiinii mei mah kakui kama tei kaleipyii suleponii, gonyii Pfiiniido gonyii mah kakui kama tei kaleipyii lakle.
MAT.6.16	“Sateichii gonyiinii malot karyii tinglang kak kabijai katiimei takumpiinii ju kashyii tei mangou sulo, kadapokii ahnyiinii malot ryii leile katu tei meinii ngou matutang karam jangpii ahnyiinii kamage mah ju tei mangou leile, ahnyiinii ahnyii mah lhang tei dou wotakle. 
MAT.6.17	Nlenii nangnii malot karyii tinglang kak nangnii malot ryiileile katu tei mei- dakii mangou supii, makumpii kalei go Pfiinii ngou kabui tiisii go phyii gamkii thao manuk wosii, ju kaphyii ailo; 
MAT.6.18	sateichii makumpii ngoukalei go Pfiinii n-go lhang pyiitangle.
MAT.6.19	“Kharak ninado dwihetnii tiikamaga sateichii karagameinii ki ramsii karaga sazyii aikikii gonyii jangpii kani kahii tei poi nkom sulo; 
